At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
each ^dt++++=each
shift ^nn++++=shift
( ^zz++++=(morning
morning ^nn++++=EXTRAWORD
and ^cc++++=and
afternoon ^nn++++=afternoon),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
blood ^nn++++=blood
samples ^nns++++=samples
were ^vbd+bed+aux++=were
inspected ^vpsv++agls+xvbnx+=inspected,
, ^zz++++=EXTRAWORD
packed ^j+++xvbn+=packed
in ^in++++=in
a ^at++++=a
thermal ^jj+atrb+++=thermal
box ^nn++++=box,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transported ^vpsv++agls+xvbn+=transported
to ^in++++=to
the ^ati++++=the
Epidemiology ^np+++??+=Epidemiology
Laboratory ^nn++++=Laboratory
of ^in++++=of
the ^ati++++=the
Medical ^jj+atrb+++=Medical
School ^nn++++=School
at ^rb++++=at
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn++++=University
of ^in++++=of
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto
for ^in++++=for
processing ^xvbg+++xvbg+=processing
and ^cc++++=and
storage ^nn++++=storage
by ^in++++=by
the ^ati++++=the
technical ^jj+atrb+++=technical
team ^nn++++=team.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
laboratory ^nn++++=laboratory,
, ^zz++++=EXTRAWORD
serum ^nn++++=serum
tubes ^nns++++=tubes
were ^vbd+bed+vrb++=were
centrifuged ^nn+++??+=centrifuged
at ^rb++++=at
2500 ^cd++++=2500
rpm ^nn+++??+=rpm
for ^in++++=for
15 ^cd++++=15
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
yielding ^vbg+++xvbg+=yielding
approximately ^rb+down+++=approximately
3 ^zz++++=3
ml ^nnu++++=mL
of ^in++++=of
serum ^nn++++=serum
per ^in++++=per
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
The ^ati++++=The
serum ^nn++++=serum
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
aliquoted ^nn+++??+=aliquoted
into ^in++++=into
separate ^vb++++=separate
polypropylene ^nn+++??+=polypropylene
tubes ^nns++++=tubes,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
tube ^nn++++=tube
containing ^vwbg+++xvbg+=containing
a ^at++++=a
50 ^cd++++=50
L ^zz++++=L
aliquot ^nn++++=aliquot
designated ^vbd+++xvbn+=designated
for ^in++++=for
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing
and ^cc++++=and
the ^ati++++=the
remaining ^jj+atrb++xvbg+=remaining
serum ^nn++++=serum
divided ^vwbn+++xvbn+=divided
into ^in++++=into
aliquots ^nns++++=aliquots
of ^in++++=of
approximately ^rb+down+++=approximately
500 ^cd++++=500
L ^zz++++=L
to ^to++++=to
1000 ^cd++++=1000
L ^zz++++=L
for ^in++++=for
other ^ap++++=other
biochemical ^jj+atrb+++=biochemical
analyses ^nns++++=analyses.
. ^zz++++=EXTRAWORD
All ^abn++++=All
serum ^nn++++=serum
aliquots ^nns++++=aliquots
were ^vbd+bed+aux++=were
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
a ^at++++=a
freezer ^nn+++??+=freezer
at ^in++++=at
- ^zz++++=-80
80 ^cd++++=EXTRAWORD
C ^zz++++=C
until ^in++++=until
further ^jjb+atrb+++=further
use ^nn++++=use.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Edta ^np+++??+=EDTA
tube ^nn++++=tube
was ^vbd+bedz+aux++=was
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
a ^at++++=a
- ^zz++++=-20
20 ^cd++++=EXTRAWORD
c ^zz++++=C
freezer ^nn++++=freezer
for ^in++++=for
subsequent ^jj+atrb+++=subsequent
extraction ^nn++++=extraction
of ^in++++=of
genetic ^jj+atrb+++=genetic
material ^nn++++=material.
. ^zz++++=EXTRAWORD
