Table ^nn++++=Table
1 ^zz++++=1
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
the ^ati++++=the
four ^cd++++=four
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
researchers ^nns+++??+=researchers
from ^in++++=from
similar ^jj+atrb+++=similar
academic ^jj+atrb+++=academic
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
involved ^vbd+++xvbn+=involved
English ^jj++++=English-Portuguese
- ^zz++++=EXTRAWORD
portuguese ^nn++++=EXTRAWORD
translations ^nns++++=translations,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
involved ^vbd+++xvbn+=involved
German ^jj++++=German-Portuguese
- ^zz++++=EXTRAWORD
portuguese ^nn++++=EXTRAWORD
translations ^nns++++=translations.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
both ^abx++++=both
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
at ^rb++++=at
Ufrgs ^np+++??+=UFRGS
focused ^vbd+++xvbn+=focused
on ^in++++=on
German ^jj++++=German-Portuguese
- ^zz++++=EXTRAWORD
portuguese ^nn++++=EXTRAWORD
translations ^nns++++=translations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
reflect ^vb+vprv+++=reflect
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
the ^ati++++=the
german ^jj+atrb+++=German
language ^nn++++=language
in ^in++++=in
southern ^np++++=southern
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
