Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^nn++++=essential
for ^in++++=for
teachers ^nns++++=teachers
at ^rb++++=at
all ^abn++++=all
educational ^jj+atrb+++=educational
levels ^nns++++=levels
to ^to++++=to
be ^vbi++vrb++=be
knowledgeable ^jj+pred+++=knowledgeable
about ^in++++=about
key ^jjb+atrb+++=key
aspects ^nns++++=aspects
required ^vwbn+++xvbn+=required
by ^in++++=by
research ^nn++++=research,
, ^zz++++=EXTRAWORD
including ^in++++=including
establishing ^xvbg+++xvbg+=establishing
a ^at++++=a
direct ^jj+atrb+++=direct
connection ^nn++++=connection
with ^in++++=with
real ^jj++++=real-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
engaging ^vbg+++xvbg+=engaging
in ^in++++=in
continuous ^jj+atrb+++=continuous
practice ^nn++++=practice
and ^cc++++=and
reflection ^nn++++=reflection
on ^in++++=on
educational ^jj+atrb+++=educational
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
participating ^vbg+++xvbg+=participating
in ^in++++=in
interdisciplinary ^nn+++??+=interdisciplinary
and ^cc++++=and
multidisciplinary ^nn+++??+=multidisciplinary
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
demonstrating ^vbg+++xvbg+=demonstrating
proficiency ^nn++++=proficiency
in ^in++++=in
methodological ^jj+atrb+++=methodological
processes ^nns++++=processes
to ^to++++=to
achieve ^vbi++++=achieve
meaningful ^jj+atrb+++=meaningful
results ^nns++++=results
that ^tht+ncmp+subj++=that
contribute ^vb++++=contribute
to ^in++++=to
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge
and ^cc++++=and
educational ^jj+atrb+++=educational
quality ^nn++++=quality
( ^zz++++=(Rojas,
rojas ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
following ^nn++++=following
learning ^vwbg+vprv+tht0+xvbg+=learning
outcomes ^nns+++??+=outcomes
are ^vb+ber+aux++=are
proposed ^vpsv++agls+xvbnx+=proposed
for ^in++++=for
the ^ati++++=the
modules ^nn++++=modules
designed ^vpsv++agls+xvbn+=designed
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
teachers ^nns++++=teachers'
' ^zz++++=EXTRAWORD
research ^nn++++=research
competencies ^nns++++=competencies:
: ^zz++++=EXTRAWORD
