L ^zz++++=L.
. ^zz++++=EXTRAWORD
Kollmann ^np+++??+=Kollmann
& ^zz++++=&
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Goldenb ^np+++??+=Goldenb.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
P.j.f ^np+++??+=P.J.F.
. ^zz++++=EXTRAWORD
Guim ^np+++??+=Guim.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Michelang ^np+++??+=Michelang.
. ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
closely ^rb++splt++=closely
related ^vpsv++agls+xvbnx+=related
based ^xvbn+++xvbn+=based
on ^in++++=on
plant ^nn++++=plant
architecture ^nn++++=architecture,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
quadrangular ^nn+++??+=quadrangular
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
similar ^jj+atrb+++=similar
leaf ^nn++++=leaf
morphology ^nn++++=morphology
and ^cc++++=and
indumentum ^nn+++??+=indumentum,
, ^zz++++=EXTRAWORD
thyrsoid ^nn+++??+=thyrsoid
inflorescences ^nns+++??+=inflorescences,
, ^zz++++=EXTRAWORD
5 ^zz++++=5-merous
- ^zz++++=EXTRAWORD
merous ^nns+++??+=EXTRAWORD
flowers ^nns++++=flowers,
, ^zz++++=EXTRAWORD
purple ^jj+atrb+++=purple
petals ^nns++++=petals,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stamens ^nns+++??+=stamens
with ^in++++=with
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes
on ^in++++=on
their ^pp$+pp3+++=their
filaments ^nns++++=filaments.
. ^zz++++=EXTRAWORD
All ^abn++++=All
three ^cd++++=three
species ^nn++++=species
also ^rb++++=also
occupy ^vb++++=occupy
similar ^jj+atrb+++=similar
habitats ^nns+++??+=habitats,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
growing ^vbg+++xvbg+=growing
on ^in+ppvb+++=on
rocky ^jj+atrb+++=rocky
outcrops ^nns++++=outcrops.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
heteromallum ^nn+++??+=heteromallum
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
P ^zz++++=P.
. ^zz++++=EXTRAWORD
eglanduliferum ^nn+++??+=eglanduliferum
by ^in++++=by
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes
on ^in++++=on
the ^ati++++=the
pedoconnective ^nn+++??+=pedoconnective
of ^in++++=of
the ^ati++++=the
antisepalous ^nns+++??+=antisepalous
stamens ^nns+++??+=stamens
and ^cc++++=and
by ^in++++=by
having ^xvbg+++xvbg+=having
bracteoles ^nns+++??+=bracteoles
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
slightly ^rb+down+++=slightly
smaller ^jjr+pred+++=smaller
than ^in++++=than
the ^ati++++=the
hypanthium ^nn+++??+=hypanthium.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
P ^zz++++=P.
. ^zz++++=EXTRAWORD
tedescoi ^nn+++??+=tedescoi
differs ^vbz++++=differs
from ^in++++=from
P ^zz++++=P.
. ^zz++++=EXTRAWORD
eglanduliferum ^nn+++??+=eglanduliferum
in ^in++++=in
possessing ^xvbg+++xvbg+=possessing
hypanthia ^nn+++??+=hypanthia
covered ^vbd+++xvbn+=covered
with ^in++++=with
glandular ^nn+++??+=glandular
trichomes ^nns+++??+=trichomes,
, ^zz++++=EXTRAWORD
isomorphic ^nn+++??+=isomorphic
stamens ^nns+++??+=stamens
within ^in++++=within
the ^ati++++=the
whorl ^nn+++??+=whorl,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bracteoles ^nns++++=bracteoles
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
slightly ^rb+down+++=slightly
smaller ^jjr+pred+++=smaller
than ^in++++=than
the ^ati++++=the
hypanthia ^nn++++=hypanthia.
. ^zz++++=EXTRAWORD
