Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conduct ^vb++++=conduct
a ^at++++=a
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
missing ^xvbg+++xvbg+=missing
and ^cc++++=and
available ^jj+atrb+++=available
data ^nns++++=data
in ^in++++=in
the ^ati++++=the
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
provenance ^nn+++??+=provenance
of ^in++++=of
these ^dt+dem+++=these
data ^nns++++=data,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
originate ^vb++++=originate
from ^in++++=from
open ^jj+atrb+++=open
sources ^nns++++=sources
or ^cc++++=or
are ^vb+ber+aux++=are
provided ^vpsv++agls+xvbnx+=provided
directly ^rb++++=directly
by ^in++++=by
the ^ati++++=the
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
is ^vbz+bez+aux++=is
to ^to++++=to
gain ^vbi++++=gain
a ^at++++=a
clearer ^jjr++++=clearer
understanding ^jj+++xvbg+=understanding
of ^in++++=of
each ^dt++++=each
indicator ^nn++++=indicator
by ^in++++=by
identifying ^xvbg+++xvbg+=identifying
those ^dt+dem+++=those
that ^dt+pdem+++=that
serve ^vb++++=serve
as ^in++++=as
weaker ^jjr+atrb+++=weaker
or ^cc+phrs+++=or
stronger ^jjr+atrb+++=stronger
measures ^nns++++=measures
within ^in++++=within
the ^ati++++=the
ranking ^nvbg+++xvbg+=ranking,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
source ^nn++++=source
and ^cc++++=and
availability ^nn++++=availability.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
utilize ^vb++++=utilize
the ^ati++++=the
data ^nns++++=data
available ^jj++++=available
for ^in++++=for
the ^ati++++=the
top ^jjb++++=top
300 ^cd++++=300
performers ^nns++++=performers
among ^in++++=among
European ^jj+atrb+++=European
Countries ^nns++++=countries
In ^in++++=in
The ^ati++++=the
020 ^cd++++=2020
Edition ^nn++++=edition
Of ^in++++=of
The ^ati++++=the
Ranking ^nn++++=ranking.
 ^zz++++=EXTRAWORD
