Select ^jj+atrb+++=Select
social ^jj+atrb+++=social
web ^nn++++=web
tools ^nns++++=tools
based ^vwbn+++xvbn+=based
on ^in++++=on
didactic ^nn+++??+=didactic
and ^cc++++=and
pedagogical ^jj+atrb+++=pedagogical
criteria ^nns++++=criteria
to ^to++++=to
ensure ^vbi+vprv+++=ensure
their ^pp$+pp3+++=their
effective ^jj+atrb+++=effective
integration ^nn++++=integration
into ^in++++=into
teaching ^nn++++=teaching
practices ^nns++++=practices
that ^tht+rel+subj++=that
promote ^vb++++=promote
social ^jj+atrb+++=social
inclusion ^nn++++=inclusion.
. ^zz++++=EXTRAWORD
