At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
a ^at++++=a
previously ^rb+tm+++=previously
unidentified ^nn+++??+=unidentified
coronavirus ^nns+++??+=coronavirus
was ^vbd+bedz+aux++=was
detected ^vpsv++agls+xvbnx+=detected
in ^in++++=in
Wuhan ^np+++??+=Wuhan,
, ^zz++++=EXTRAWORD
China ^np++++=China;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
designated ^vpsv++agls+xvbnx+=designated
Sars ^np+++??+=SARS-CoV-2,
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
disease ^nn++++=disease
it ^pp3+it+++=it
causes ^vbz++++=causes
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
cases ^nns++++=cases
increased ^vbd+++xvbn+=increased,
, ^zz++++=EXTRAWORD
atypical ^jj+atrb+++=atypical
symptoms ^nns++++=symptoms
for ^in++++=for
this ^dt+dem+++=this
type ^nn++++=type
of ^in++++=of
virus ^nn++++=virus,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
anosmia ^vb+++??+=anosmia
and ^cc++++=and
dysgeusia ^nn+++??+=dysgeusia
of ^in++++=of
uncertain ^jj+atrb+++=uncertain
etiology ^nn+++??+=etiology,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
raising ^jj+++xvbg+=raising
the ^ati++++=the
possibility ^nn++++=possibility
of ^in++++=of
autonomic ^nn+++??+=autonomic
dysfunction ^nn+++??+=dysfunction,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
involving ^vbg+++xvbg+=involving
the ^ati++++=the
baroreflex ^nn+++??+=baroreflex.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
plausible ^jj+pred+++=plausible
that ^dt+dem+++=that
subclinical ^nn+++??+=subclinical
manifestations ^nns++++=manifestations
of ^in++++=of
baroreflex ^nn+++??+=baroreflex
involvement ^nn++++=involvement
may ^md+pos+++=may
occur ^vb++++=occur.
. ^zz++++=EXTRAWORD
The ^ati++++=The
baroreflex ^nn+++??+=baroreflex
is ^vbz+bez+aux++=is
regulated ^vpsv++by+xvbnx+=regulated
by ^in++++=by
the ^ati++++=the
autonomic ^nn+++??+=autonomic
nervous ^jj+atrb+++=nervous
system ^nn++++=system
through ^in++++=through
the ^ati++++=the
balance ^nn++++=balance
of ^in++++=of
sympathetic ^jj+atrb+++=sympathetic
and ^cc+phrs+++=and
parasympathetic ^jj+atrb++??+=parasympathetic
activity ^nn++++=activity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
objective ^nn++++=objective
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study
is ^vbz+bez+aux++=is
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
exhibit ^nn++++=exhibit
alterations ^nns++++=alterations
in ^in++++=in
baroreflex ^nn+++??+=baroreflex
function ^nn++++=function,
, ^zz++++=EXTRAWORD
as ^in++++=as
assessed ^nn++++=assessed
by ^in++++=by
ecg ^np++++=ECG
holter ^np++++=Holter
monitoring ^nn++++=monitoring.
. ^zz++++=EXTRAWORD
