When ^wrb+who+++=When
children ^nns++++=children
read ^vbd+vprv++xvbn+=read
picturebooks ^nns+++??+=picturebooks
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
one ^cd1++++=one
analyzed ^nn+++??+=analyzed
in ^in++++=in
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
diverse ^jj+atrb+++=diverse
family ^nn++++=family
structures ^nns++++=structures
during ^in++++=during
their ^pp$+pp3+++=their
socialization ^nn+++??+=socialization
process ^nn++++=process.
. ^zz++++=EXTRAWORD
The ^ati++++=The
depiction ^nn++++=depiction
of ^in++++=of
the ^ati++++=the
protagonist ^nn++++=protagonist,
, ^zz++++=EXTRAWORD
a ^at++++=a
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
engaging ^vbg+++xvbg+=engaging
in ^in++++=in
everyday ^jjb+atrb+++=everyday
activities ^nns++++=activities
with ^in++++=with
her ^pp$+pp3+++=her
two ^cd++++=two
fathers ^npt++++=fathers
such ^abl++++=such
as ^ql++++=as
cooking ^nvbg+++xvbg+=cooking,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
running ^jj+atrb++xvbg+=running
activities ^nns++++=activities
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
children ^nns++++=children
in ^in++++=in
heterosexual ^jj++++=heterosexual-parent
- ^zz++++=EXTRAWORD
parent ^nn++++=EXTRAWORD
families ^nns++++=families,
, ^zz++++=EXTRAWORD
contributes ^vbz++++=contributes
to ^in++++=to
the ^ati++++=the
normalization ^nn+++??+=normalization
of ^in++++=of
same ^ap++++=same-sex
- ^zz++++=EXTRAWORD
sex ^nn++++=EXTRAWORD
parent ^nn++++=parent
families ^nns++++=families.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
representation ^nn++++=representation
supports ^vbz++++=supports
the ^ati++++=the
acceptance ^nn++++=acceptance
of ^in++++=of
alternative ^jj+atrb+++=alternative
family ^nn++++=family
models ^nns++++=models
and ^cc++++=and
promotes ^vbz++++=promotes
the ^ati++++=the
normalization ^nn+++??+=normalization
of ^in++++=of
diverse ^jj+atrb+++=diverse
family ^nn++++=family
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
balanced ^jj+atrb++xvbn+=balanced
portrayal ^nn++++=portrayal
of ^in++++=of
activities ^nns++++=activities
occurring ^vwbg+++xvbg+=occurring
both ^abx++++=both
inside ^jjb++++=inside
and ^cc+phrs+++=and
outside ^jjb++++=outside
the ^ati++++=the
home ^nr++++=home
further ^jjb++++=further
reinforces ^vbz++++=reinforces
the ^ati++++=the
depiction ^nn++++=depiction
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
s ^zz++++=s
everyday ^jjb+atrb+++=everyday
life ^nn++++=life
as ^in++++=as
typical ^jj++++=typical
and ^cc+phrs+++=and
unremarkable ^jj++++=unremarkable.
. ^zz++++=EXTRAWORD
