Diatoms ^np+++??+=Diatoms
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
utilized ^vpsv++agls+xvbnx+=utilized
among ^in++++=among
biological ^jj+atrb+++=biological
groups ^nns++++=groups
preserved ^vwbn+++xvbn+=preserved
in ^in++++=in
sediments ^nns+++??+=sediments
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
clear ^jj+atrb+++=clear
taxonomic ^nn+++??+=taxonomic
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
high ^jj+atrb+++=high
abundance ^nn++++=abundance,
, ^zz++++=EXTRAWORD
good ^jj+atrb+++=good
preservation ^nn++++=preservation
potential ^nn++++=potential,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rapid ^jj+atrb+++=rapid
response ^nn++++=response
to ^in++++=to
environmental ^jj+atrb+++=environmental
changes ^nns++++=changes
( ^zz++++=(Reid
reid ^np++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Bennion ^np+++??+=Bennion
& ^zz++++=&
Simpson ^np++++=Simpson
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
diatoms ^nns+++??+=diatoms
as ^ql++++=as
indicators ^nns++++=indicators
of ^in++++=of
environmental ^jj+atrb+++=environmental
change ^nn++++=change
necessitates ^vbz++++=necessitates
a ^at++++=a
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
taxonomic ^nn+++??+=taxonomic
accuracy ^nn++++=accuracy
( ^zz++++=(Birks
birks ^nns+++??+=EXTRAWORD
1994 ^cd+date+++=1994),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
misidentifications ^nns+++??+=misidentifications
can ^md+pos+++=can
affect ^vb++++=affect
the ^ati++++=the
interpretation ^nn++++=interpretation
and ^cc++++=and
reliability ^nn++++=reliability
of ^in++++=of
data ^nns++++=data
concerning ^in++++=concerning
contemporary ^nn++++=contemporary
diatom ^nn+++??+=diatom
biodiversity ^nn+++??+=biodiversity
( ^zz++++=(Buczko
buczko ^nn+++??+=EXTRAWORD
& ^zz++++=&
magyari ^np++++=Magyari
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
wetzel ^np++++=Wetzel
& ^zz++++=&
ector ^np++++=Ector
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
