Herbal ^np+++??+=Herbal
agents ^nns++++=agents
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
relatively ^rb++++=relatively
safe ^jj++++=safe,
, ^zz++++=EXTRAWORD
effective ^jj++++=effective,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cost ^nn++++=cost-efficient
- ^zz++++=EXTRAWORD
efficient ^jj+atrb+++=EXTRAWORD
alternatives ^nns++++=alternatives
to ^in++++=to
benzodiazepines ^nns+++??+=benzodiazepines,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
lower ^jjr+atrb+++=lower
incidence ^nn++++=incidence
of ^in++++=of
adverse ^jj+atrb+++=adverse
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
primary ^jj+atrb+++=primary
advantage ^nn++++=advantage
lies ^nns++++=lies
in ^in++++=in
the ^ati++++=the
ability ^nn++++=ability
to ^to+ncmp+++=to
achieve ^vbi++++=achieve
therapeutic ^jj+atrb+++=therapeutic
effects ^nns++++=effects
at ^in++++=at
lower ^jjr+atrb+++=lower
concentrations ^nns++++=concentrations
of ^in++++=of
active ^jj+atrb+++=active
compounds ^nns++++=compounds,
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
a ^at++++=a
potential ^jj+atrb+++=potential
substitute ^nn++++=substitute
for ^in++++=for
the ^ati++++=the
excessive ^jj+atrb+++=excessive
use ^nn++++=use
of ^in++++=of
conventional ^jj+atrb+++=conventional
anxiolytics ^nns+++??+=anxiolytics.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
further ^jjb+atrb+++=further
research ^nn++++=research
is ^vbz+bez+aux++=is
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
their ^pp$+pp3+++=their
actual ^jj+atrb+++=actual
efficacy ^nn++++=efficacy,
, ^zz++++=EXTRAWORD
optimal ^jj+atrb+++=optimal
dosage ^nn++++=dosage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potential ^jj+atrb+++=potential
side ^nn++++=side
effects ^nns++++=effects
when ^wrb+who+++=when
used ^vpsv++agls+xvbn+=used
for ^in++++=for
conscious ^jj+atrb+++=conscious
sedation ^nn++++=sedation
in ^in++++=in
dentistry ^nn++++=dentistry.
. ^zz++++=EXTRAWORD
