Health ^nn++++=Health
conditions ^nns++++=conditions
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
self ^nn++++=self-perceived
- ^zz++++=EXTRAWORD
perceived ^vbd+vprv++xvbn+=EXTRAWORD
health ^nn++++=health
status ^nn++++=status,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
physical ^jj+atrb+++=physical
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
use ^nn++++=use
of ^in++++=of
medications ^nns+++??+=medications
or ^cc++++=or
supplements ^nns+++??+=supplements,
, ^zz++++=EXTRAWORD
body ^nn++++=body
weight ^nn++++=weight,
, ^zz++++=EXTRAWORD
height ^nn++++=height,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
individual ^jj+atrb+++=individual
perceptions ^nns++++=perceptions
regarding ^in++++=regarding
covid ^np++++=COVID-19.
- ^zz++++=EXTRAWORD
19. ^nn++++=EXTRAWORD
