Regarding ^in++++=Regarding
framing ^xvbg+++xvbg+=framing,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visuals ^nns+++??+=visuals
in ^in++++=in
this ^dt+dem+++=this
book ^nn++++=book
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
bound ^vbd+++xvbn+=bound,
, ^zz++++=EXTRAWORD
as ^ql++++=as
each ^dt++++=each
image ^nn++++=image
is ^vbz+bez+aux++=is
enclosed ^vpsv++by+xvbnx+=enclosed
by ^in++++=by
a ^at++++=a
margin ^nn++++=margin
or ^cc++++=or
space ^nn++++=space
that ^tht+rel+subj++=that
separates ^vbz++++=separates
the ^ati++++=the
reader ^nn++++=reader
from ^in++++=from
the ^ati++++=the
narrative ^nn++++=narrative
world ^nn++++=world.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
aligns ^vbz+++??+=aligns
with ^in++++=with
Painter ^nn++++=Painter
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013,
2013 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
105 ^cd++++=105),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
state ^vb++++=state
that ^tht+vcmp+++=that
" ^zz++++="Bound
bound ^xvbn+++xvbn+=EXTRAWORD
images ^nns++++=images,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
set ^nn+++xvbn+=set
within ^in++++=within
a ^at++++=a
page ^nn++++=page
margin ^nn++++=margin
or ^cc++++=or
border ^nn++++=border,
, ^zz++++=EXTRAWORD
demarcate ^nn+++??+=demarcate
the ^ati++++=the
story ^nn++++=story
world ^nn++++=world
as ^in++++=as
more ^rbr++++=more
distinctly ^rb++++=distinctly
separated ^vbd+++xvbn+=separated
from ^in++++=from
the ^ati++++=the
reader ^nn++++=reader
s ^zz++++=s
world ^nn++++=world
than ^in++++=than
unbound ^vbd+++xvbn+=unbound
ones ^cd1s++++=ones
and ^cc++++=and
may ^md+pos+++=may
also ^rb++splt++=also
serve ^vb++++=serve
to ^to++++=to
contain ^vbi++++=contain
or ^cc+phrs+++=or
confine ^vb++++=confine
the ^ati++++=the
character ^nn++++=character."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
written ^jj+atrb++xvbn+=written
text ^nn++++=text
consistently ^rb++++=consistently
appears ^vbz+seem+++=appears
in ^in++++=in
black ^nn++++=black,
, ^zz++++=EXTRAWORD
providing ^vbg+++xvbg+=providing
a ^at++++=a
clear ^jj+atrb+++=clear
contrast ^nn++++=contrast
against ^in++++=against
the ^ati++++=the
lighter ^jjr+atrb+++=lighter
backgrounds ^nns++++=backgrounds
such ^abl++++=such
as ^ql++++=as
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
pavement ^nn++++=pavement,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
green ^jj+atrb+++=green
grass ^nn++++=grass
on ^in++++=on
which ^whp+rel+pied++=which
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
placed ^vbd+++xvbn+=placed.
. ^zz++++=EXTRAWORD
