The ^ati++++=The
father ^nn++++=father
figure ^nn++++=figure
appears ^vbz+seem+++=appears
alongside ^in+pl+++=alongside
Emily ^np+++??+=Emily
in ^in++++=in
several ^ap++++=several
illustrations ^nns++++=illustrations.
. ^zz++++=EXTRAWORD
On ^in++++=On
page ^nn++++=page
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Daddy ^npt++++=Daddy
who ^whp+rel+subj++=who
interacts ^vbz+++??+=interacts
directly ^rb++++=directly
with ^in++++=with
Emily ^np+++??+=Emily,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
sprays ^nns++++=sprays
him ^pp3o+pp3+++=him
with ^in++++=with
a ^at++++=a
hose ^nn++++=hose.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn++++=addition
to ^to++++=to
observing ^vbi+vprv+++=observing
Emily ^np+++??+=Emily
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
paints ^vbz++++=paints,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
watching ^vbg+++xvbg+=watching
her ^pp$+pp3+++=her
serve ^vb++++=serve
tea ^nn++++=tea
on ^rp++++=on
page ^nn++++=page
15 ^cd++++=15
and ^cc+cls+++=and
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
swing ^nn++++=swing
on ^in++++=on
page ^nn++++=page
17 ^cd++++=17.
. ^zz++++=EXTRAWORD
On ^in++++=On
page ^nn++++=page
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy
is ^vbz+bez+aux++=is
positioned ^vpsv++agls+xvbnx+=positioned
behind ^in+pl+++=behind
Emily ^np+++??+=Emily
in ^in++++=in
the ^ati++++=the
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
a ^at++++=a
protective ^jj+atrb+++=protective
stance ^nn++++=stance.
. ^zz++++=EXTRAWORD
On ^in++++=On
page ^nn++++=page
23 ^cd++++=23,
, ^zz++++=EXTRAWORD
both ^abx++++=both
fathers ^nns++++=fathers
are ^vb+ber+aux++=are
shown ^vpsv++agls+xvbnx+=shown
running ^jj+++xvbg+=running
with ^in++++=with
Emily ^np+++??+=Emily,
, ^zz++++=EXTRAWORD
with ^in++++=with
Daddy ^npt++++=Daddy
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
and ^cc++++=and
Dad ^npt++++=Dad
running ^vwbg+++xvbg+=running
after ^in++++=after
Max ^np++++=Max,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
on ^in++++=on
page ^nn++++=page
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
notable ^jj+atrb+++=notable
shift ^nn++++=shift:
: ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
on ^in++++=on
the ^ati++++=the
right ^nn++++=right,
, ^zz++++=EXTRAWORD
attempting ^vbg+++xvbg+=attempting
to ^to+vcmp+++=to
catch ^vbi++++=catch
Emily ^np+++??+=Emily,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Daddy ^npt++++=Daddy
observes ^vbz+vprv+++=observes.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
illustration ^nn++++=illustration,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dog ^nn++++=dog
is ^vbz+bez+aux++=is
placed ^vbd+++xvbn+=placed
in ^in++++=in
the ^ati++++=the
foreground ^nn++++=foreground.
. ^zz++++=EXTRAWORD
