Despite ^in++++=Despite
the ^ati++++=the
overall ^jjb+atrb+++=overall
homogeneity ^nn++++=homogeneity
of ^in++++=of
benthic ^nn+++??+=benthic
macrofauna ^nn+++??+=macrofauna
assemblages ^nns+++??+=assemblages
among ^in++++=among
the ^ati++++=the
three ^cd++++=three
sampling ^nn++++=sampling
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
the ^ati++++=the
cluster ^nn++++=cluster
analysis ^nn++++=analysis
revealed ^vbd+vprv++xvbn+=revealed
some ^dti++++=some
minor ^jj+atrb+++=minor
distinctions ^nns++++=distinctions.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
replicates ^nns+++??+=replicates
generally ^rb+down+++=generally
exhibited ^xvbn+++xvbn+=exhibited
high ^np++++=high
similarity ^nn++++=similarity,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
sampling ^nn++++=sampling
sites ^nns++++=sites
themselves ^ppls+pp3+++=themselves
displayed ^vbd+++xvbn+=displayed
subtle ^jj+atrb+++=subtle
differences ^nns++++=differences,
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
The ^ati++++=The
underlying ^jj+atrb++xvbg+=underlying
causes ^nns++++=causes
of ^in++++=of
these ^dt+dem+++=these
differences ^nns++++=differences
remain ^vb++++=remain
unclear ^nn+++??+=unclear
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+aux++=be
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
natural ^jj+atrb+++=natural
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
hydrogeochemical ^vb+++??+=hydrogeochemical
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
anthropogenic ^nn++++=anthropogenic
influences ^nns++++=influences,
, ^zz++++=EXTRAWORD
including ^in++++=including
pollution ^nn++++=pollution
or ^cc++++=or
trampling ^vbg+++xvbg+=trampling.
. ^zz++++=EXTRAWORD
