Garrison ^nn++++=Garrison
and ^cc++++=and
Arbaugh ^np+++??+=Arbaugh
( ^zz++++=(2007)
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
report ^vb++++=report
that ^tht+vcmp+++=that
research ^nn++++=research
on ^in++++=on
student ^nn++++=student
group ^nn++++=group
cohesiveness ^nns+++??+=cohesiveness
and ^cc++++=and
interaction ^nn++++=interaction
in ^in++++=in
team ^nn++++=team
settings ^nns++++=settings
indicates ^vbz+vpub+++=indicates
a ^at++++=a
significant ^jj+atrb+++=significant
relationship ^nn++++=relationship
between ^in++++=between
social ^jj+atrb+++=social
presence ^nn++++=presence
and ^cc++++=and
learning ^vbg+vprv++xvbg+=learning
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
studies ^nns++++=studies
by ^in++++=by
Molinari ^np+++??+=Molinari
( ^zz++++=(2010),
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Celani ^np+++??+=Celani
and ^cc++++=and
Collins ^np++++=Collins
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Beuchot ^np+++??+=Beuchot
and ^cc++++=and
Bullen ^np+++??+=Bullen
( ^zz++++=(2005),
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
further ^jjb++++=further
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
social ^jj+atrb+++=social
presence ^nn++++=presence
serves ^vbz++++=serves
as ^in++++=as
a ^at++++=a
foundation ^nn++++=foundation
for ^in++++=for
cognitive ^nn+++??+=cognitive
presence ^nn++++=presence
( ^zz++++=(Whiteside,
whiteside ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
More ^rbr++++=More
recent ^jj+atrb+++=recent
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
including ^in++++=including
those ^dt+dem+++=those
by ^in++++=by
d ^zz++++=d
Alessio ^np+++??+=Alessio
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Rolim ^np+++??+=Rolim
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
corroborate ^nn+++??+=corroborate
these ^dt+dem+++=these
findings ^nns++++=findings
by ^in++++=by
demonstrating ^xvbg+++xvbg+=demonstrating
strong ^jj+atrb+++=strong
associations ^nns++++=associations
between ^in++++=between
social ^jj+atrb+++=social
presence ^nn++++=presence
and ^cc++++=and
cognitive ^jj+atrb+++=cognitive
presence ^nn++++=presence.
. ^zz++++=EXTRAWORD
