Although ^cs+con+++=Although
the ^ati++++=the
sample ^nn++++=sample
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
representative ^jj++++=representative,
, ^zz++++=EXTRAWORD
the ^ati++++=the
survey ^nn++++=survey
responses ^nns++++=responses
reflected ^vbd+vprv++xvbn+=reflected
considerable ^jj+atrb+++=considerable
diversity ^nn++++=diversity
in ^in++++=in
both ^abx++++=both
federal ^jj+atrb+++=federal
careers ^nns++++=careers
and ^cc++++=and
federal ^jj+atrb+++=federal
institutions ^nns++++=institutions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
tables ^nns++++=tables
summarize ^vb++++=summarize
this ^dt+dem+++=this
diversity ^nn++++=diversity.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
tables ^nns++++=tables,
, ^zz++++=EXTRAWORD
a ^at++++=a
substantial ^jj+atrb+++=substantial
proportion ^nn++++=proportion
of ^in++++=of
respondents ^nns++++=respondents
selected ^vwbn+++xvbn+=selected
the ^ati++++=the
other ^ap++++=other
category ^nn++++=category,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
an ^at++++=an
extensive ^jj+atrb+++=extensive
list ^nn++++=list
of ^in++++=of
institutions ^nns++++=institutions
and ^cc++++=and
careers ^nns++++=careers
that ^tht+rel+obj++=that
participants ^nns++++=participants
entered ^vbd+++xvbn+=entered
as ^ql++++=as
free ^jj++++=free-text
- ^zz++++=EXTRAWORD
text ^nn++++=EXTRAWORD
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
