Among ^in++++=Among
the ^ati++++=the
14 ^cd++++=14
studies ^nns++++=studies
retrieved ^vbd+++xvbn+=retrieved
from ^in++++=from
the ^ati++++=the
websites ^nns+++??+=websites
Dom ^&fw++++=Dom
nio ^nn+++??+=nio
P ^zz++++=P
blico ^nn+++??+=blico,
, ^zz++++=EXTRAWORD
Bdtd ^np+++??+=BDTD,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Cat ^nn++++=Cat
logo ^nn+++??+=logo
de ^&fw++++=de
Teses ^np+++??+=Teses
e ^zz++++=e
Disserta ^np+++??+=Disserta
es ^&fw++++=es
da ^np++++=da
Capes ^np+++??+=CAPES,
, ^zz++++=EXTRAWORD
four ^cd++++=four
were ^vbd+bed+vrb++=were
dissertations ^nns+++??+=dissertations
( ^zz++++=(28.6%)
28.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
ten ^cd++++=ten
were ^vbd+bed+vrb++=were
theses ^nns++++=theses
( ^zz++++=(71.4%).
71.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
earliest ^jjt+atrb+++=earliest
thesis ^nn++++=thesis
was ^vbd+bedz+aux++=was
completed ^vpsv++agls+xvbnx+=completed
in ^in++++=in
2002 ^cd++++=2002,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
dissertation ^nn+++??+=dissertation
was ^vbd+bedz+aux++=was
completed ^vpsv++agls+xvbnx+=completed
in ^in++++=in
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
covering ^vbg+++xvbg+=covering
a ^at++++=a
period ^nn++++=period
of ^in++++=of
14 ^cd++++=14
years ^nns++++=years.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
theses ^nns++++=theses
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
for ^in++++=for
the ^ati++++=the
year ^nn++++=year
2004 ^cd++++=2004,
, ^zz++++=EXTRAWORD
two ^cd++++=two
for ^in++++=for
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
theses ^nns++++=theses
along ^in++++=along
with ^in++++=with
one ^cd1++++=one
dissertation ^nn+++??+=dissertation
for ^in++++=for
2009 ^cd++++=2009.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
years ^nns++++=years
2002 ^cd++++=2002
( ^zz++++=(thesis),
thesis ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
( ^zz++++=(thesis),
thesis ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
( ^zz++++=(thesis),
thesis ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
( ^zz++++=(thesis),
thesis ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
( ^zz++++=(dissertation),
dissertation ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013
( ^zz++++=(dissertation),
dissertation ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2016 ^cd++++=2016
( ^zz++++=(dissertation),
dissertation ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
one ^cd1++++=one
study ^nn++++=study
was ^vbd+bedz+aux++=was
completed ^vpsv++agls+xvbnx+=completed
in ^in++++=in
each ^dt++++=each
respective ^jj+atrb+++=respective
year ^nn++++=year
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
figure ^nn++++=Figure
9 ^zz++++=9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
