To ^in++++=To
further ^jjb++++=further
examine ^vb++++=examine
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
three ^cd++++=three
approaches ^nns++++=approaches
for ^in++++=for
generating ^xvbg+++xvbg+=generating
general ^jj+atrb+++=general
classifications ^nns+++??+=classifications.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horizontal ^jj+atrb+++=horizontal
axis ^nn++++=axis
represents ^vbz++++=represents
the ^ati++++=the
ranking ^jj+atrb++xvbg+=ranking
position ^nn++++=position
assigned ^vwbn+++xvbn+=assigned
by ^in++++=by
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^vb+++??+=EXTRAWORD
based ^vbd+++xvbn+=based
solely ^rb++++=solely
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
A ^at++++=A
scores ^nns++++=scores.
. ^zz++++=EXTRAWORD
The ^ati++++=The
vertical ^jj+atrb+++=vertical
axis ^nn++++=axis
displays ^nns++++=displays
three ^cd++++=three
sets ^nns++++=sets
of ^in++++=of
data ^nns++++=data
points ^nns++++=points:
: ^zz++++=EXTRAWORD
the ^ati++++=the
institutional ^jj+atrb+++=institutional
ranking ^jj+atrb++xvbg+=ranking
position ^nn++++=position
according ^in++++=according
to ^in++++=to
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
( ^zz++++=(blue
blue ^jj+atrb+++=EXTRAWORD
dots ^nns++++=dots),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
ranking ^jj+atrb++xvbg+=ranking
position ^nn++++=position
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
average ^nn++++=average
of ^in++++=of
indicators ^nns++++=indicators
( ^zz++++=(red
red ^jj+atrb+++=EXTRAWORD
dots ^nns++++=dots),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ranking ^jj+atrb++xvbg+=ranking
position ^nn++++=position
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
average ^nn++++=average
of ^in++++=of
dimensions ^nns++++=dimensions
( ^zz++++=(green
green ^nn++++=EXTRAWORD
dots ^nns++++=dots).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
includes ^vb++++=includes
1,070 ^cd++++=1,070
European ^jj+atrb+++=European
academic ^jj+atrb+++=academic
institutions ^nns++++=institutions
listed ^vwbn+++xvbn+=listed
in ^in++++=in
the ^ati++++=the
2020 ^cd++++=2020
edition ^nn++++=edition
of ^in++++=of
U ^zz++++=U-Multirank.
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
European ^jj+atrb+++=European
institutions ^nns++++=institutions
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
greater ^jjr+atrb+++=greater
completeness ^nn++++=completeness
of ^in++++=of
their ^pp$+pp3+++=their
databases ^vbz++++=databases
compared ^vpsv++agls+xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
from ^in++++=from
other ^ap++++=other
continents ^nns++++=continents.
. ^zz++++=EXTRAWORD
