As ^in++++=As
the ^ati++++=the
term ^nn++++=term
suggests ^vbz+vpub+++=suggests,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
defining ^jj+atrb++xvbg+=defining
features ^nns++++=features
are ^vb+ber+vrb++=are
the ^ati++++=the
medium ^jjb++++=medium,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
content ^nn++++=content,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consists ^vbz++++=consists
of ^in++++=of
images ^nns++++=images.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
" ^zz++++="picturebook"
picturebook ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
explicitly ^rb++++=explicitly
indicate ^vb+vprv+++=indicate
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
text ^nn++++=text;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
general ^jj+atrb+++=general
consensus ^nn++++=consensus
that ^tht+rel+obj++=that
picturebooks ^nns+++??+=picturebooks
typically ^rb++++=typically
contain ^vb++++=contain
both ^abx++++=both
images ^nns++++=images
and ^cc++++=and
written ^jj+atrb++xvbn+=written
text ^nn++++=text.
. ^zz++++=EXTRAWORD
In ^in++++=In
academic ^jj+atrb+++=academic
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
a ^at++++=a
distinction ^nn++++=distinction
is ^vbz+bez+aux++=is
often ^rb++splt++=often
made ^vpsv++agls+xvbnx+=made
between ^in++++=between
books ^nns++++=books
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
text ^nn++++=text
predominates ^vbz++++=predominates
over ^in++++=over
the ^ati++++=the
illustrations ^nns++++=illustrations
and ^cc++++=and
those ^dt+dem+++=those
in ^in++++=in
which ^whp+rel+pied++=which
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
more ^rbr++++=more
balanced ^jj+atrb++xvbn+=balanced
integration ^nn++++=integration
of ^in++++=of
textual ^jj+atrb+++=textual
and ^cc+phrs+++=and
visual ^jj+atrb+++=visual
elements ^nns++++=elements,
, ^zz++++=EXTRAWORD
with ^in++++=with
picturebooks ^nns++++=picturebooks
generally ^rb+down+++=generally
exemplifying ^vb++++=exemplifying
the ^ati++++=the
latter ^ap++++=latter.
. ^zz++++=EXTRAWORD
