Current ^jj+atrb+++=Current
pharmacological ^jj+atrb+++=pharmacological
approaches ^nns++++=approaches
to ^in++++=to
anxiety ^nn++++=anxiety
management ^nn++++=management
aim ^vb++++=aim
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
effective ^jj+atrb+++=effective
outcomes ^nns+++??+=outcomes
in ^in++++=in
clinical ^jj+atrb+++=clinical
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
Medicinal ^np+++??+=Medicinal
plants ^nns++++=plants
represent ^vb++++=represent
a ^at++++=a
potential ^jj+atrb+++=potential
source ^nn++++=source
for ^in++++=for
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
novel ^nn++++=novel
anti ^nn+++??+=anti-anxiety
- ^zz++++=EXTRAWORD
anxiety ^nn++++=EXTRAWORD
and ^cc++++=and
antidepressant ^nn+++??+=antidepressant
agents ^nns++++=agents
( ^zz++++=(Fajemiroye
fajemiroye ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
facco ^np++++=Facco
& ^zz++++=&
zanette ^np++++=Zanette,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
