According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
manufacturer ^nn++++=manufacturer's
's ^$++++=EXTRAWORD
validation ^nn+++??+=validation
data ^nns++++=data,
, ^zz++++=EXTRAWORD
the ^ati++++=the
One ^cd1++++=One
Step ^nn++++=Step
Covid ^np+++??+=COVID-2019
- ^zz++++=EXTRAWORD
2019 ^cd++++=EXTRAWORD
Test ^nn++++=Test
( ^zz++++=(Wondfo
wondfo ^nn+++??+=EXTRAWORD
) ^zz++++=)
demonstrated ^vbd+vprv++xvbn+=demonstrated
a ^at++++=a
sensitivity ^nn++++=sensitivity
of ^in++++=of
86.43 ^cd++++=86.43%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
82.58 ^cd++++=82.58%
% ^zz++++=EXTRAWORD
89.58 ^cd++++=89.58%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
specificity ^nn++++=specificity
of ^in++++=of
99.57 ^cd++++=99.57%
% ^zz++++=EXTRAWORD
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI:
: ^zz++++=EXTRAWORD
97.92 ^cd++++=97.92%
% ^zz++++=EXTRAWORD
99.92% ^cd++++=99.92%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Negative ^jj+atrb+++=Negative
results ^nns++++=results
do ^vb+do+vrb++=do
not ^xnot++not++=not
definitively ^nn+++??+=definitively
exclude ^vb++++=exclude
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
positive ^jj+atrb+++=positive
results ^nns++++=results
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
interpreted ^vpsv++agls+xvbnx+=interpreted
as ^ql++++=as
conclusive ^jj+atrb+++=conclusive
evidence ^nn++++=evidence
of ^in++++=of
current ^jj+atrb+++=current
infection ^nn++++=infection.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
indicate ^vb+vprv+++=indicate
prior ^jj+atrb+++=prior
exposure ^nn++++=exposure
to ^to++++=to
the ^ati++++=the
infectious ^nns++++=infectious
agent ^nn++++=agent
[ ^zz++++=[19].
19 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
