Occasionally ^rb+cnj+++=Occasionally,
, ^zz++++=EXTRAWORD
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
compiles ^vbz++++=compiles
a ^at++++=a
list ^nn++++=list
of ^in++++=of
" ^zz++++="best
best ^jjt+atrb+++=EXTRAWORD
performers ^nns++++=performers"
" ^zz++++=EXTRAWORD
by ^in++++=by
country ^nn++++=country
for ^in++++=for
a ^at++++=a
given ^jj+atrb++xvbn+=given
year ^nn++++=year,
, ^zz++++=EXTRAWORD
a ^at++++=a
process ^nn++++=process
that ^tht+rel+subj++=that
presents ^vbz++++=presents
challenges ^vbz++++=challenges
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
multidimensional ^nn+++??+=multidimensional
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
rankings ^nns++++=rankings.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
demonstrated ^vbd+vprv++xvbn+=demonstrated
that ^tht+vcmp+++=that
multiple ^jj+atrb+++=multiple
approaches ^nns++++=approaches
can ^md+pos+++=can
be ^vb+be+aux++=be
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
create ^vbi++++=create
such ^abl++++=such
an ^at++++=an
overall ^jjb+atrb+++=overall
classification ^nn++++=classification.
. ^zz++++=EXTRAWORD
U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
currently ^rb++++=currently
utilizes ^vbz+++??+=utilizes
an ^at++++=an
" ^zz++++="Olympic
olympic ^jj+atrb+++=EXTRAWORD
Medals ^nns++++=Medals
Table ^nn++++=Table"
" ^zz++++=EXTRAWORD
format ^nn++++=format,
, ^zz++++=EXTRAWORD
identifying ^vbg+++xvbg+=identifying
top ^jjb+atrb+++=top
institutions ^nns++++=institutions
as ^ql++++=as
those ^dt+dem+++=those
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
maximum ^jj+atrb+++=maximum
scores ^nns++++=scores.
. ^zz++++=EXTRAWORD
The ^ati++++=The
present ^jj+atrb+++=present
paper ^nn++++=paper
identified ^vwbn+++xvbn+=identified
several ^ap++++=several
issues ^vbz++++=issues
associated ^vbd+++xvbn+=associated
with ^in++++=with
this ^dt+dem+++=this
method ^nn++++=method
and ^cc++++=and
proposed ^jj+atrb++xvbn+=proposed
two ^cd++++=two
alternative ^jj+atrb+++=alternative
approaches ^nns++++=approaches
for ^in++++=for
generating ^xvbg+++xvbg+=generating
a ^at++++=a
general ^jj+atrb+++=general
ranking ^nvbg+++xvbg+=ranking:
: ^zz++++=EXTRAWORD
calculating ^jj+++xvbg+=calculating
the ^ati++++=the
simple ^jj+atrb+++=simple
average ^nn++++=average
of ^in++++=of
all ^abn++++=all
indicators ^nns++++=indicators
and ^cc++++=and
calculating ^nvbg+++xvbg+=calculating
the ^ati++++=the
average ^nn++++=average
of ^in++++=of
the ^ati++++=the
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
preferable ^jj++++=preferable
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
incorporates ^vbz++++=incorporates
all ^rb++++=all
available ^jj+atrb+++=available
data ^nns++++=data
and ^cc++++=and
assigns ^vbz++++=assigns
equal ^jj+atrb+++=equal
weight ^nn++++=weight
to ^in++++=to
each ^dt++++=each
dimension ^nn++++=dimension.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
consideration ^nn++++=consideration
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
relevant ^jj+pred+++=relevant,
, ^zz++++=EXTRAWORD
as ^ql++++=as
some ^dti++++=some
form ^nn++++=form
of ^in++++=of
overall ^jjb+atrb+++=overall
classification ^nn++++=classification
will ^md+prd+++=will
be ^vb+be+vrb++=be
necessary ^jj+pred+++=necessary
if ^cs+cnd+++=if
multidimensional ^nn++++=multidimensional
evaluation ^nn++++=evaluation
is ^vbz+bez+aux++=is
adopted ^vprf+++xvbn+=adopted
by ^in++++=by
capes ^np++++=Capes.
. ^zz++++=EXTRAWORD
