When ^wrb+who+++=When
Bolsonaro ^np+++??+=Bolsonaro
assumed ^vwbn+++xvbn+=assumed
office ^nn++++=office
on ^in++++=on
January ^nr++++=January
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inherited ^vbd+++xvbnx+=inherited
a ^at++++=a
large ^jj++++=large,
, ^zz++++=EXTRAWORD
professional ^jj++++=professional,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
well ^rb++++=well-established
- ^zz++++=EXTRAWORD
established ^vbd+vprv++xvbn+=EXTRAWORD
federal ^jj+atrb+++=federal
administration ^nn++++=administration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Brazilian ^jj+atrb+++=Brazilian
federal ^jj+atrb+++=federal
state ^nn++++=state
had ^vbd+hvd+aux++=had
demonstrated ^vprf+++xvbnx+=demonstrated
its ^pp$+it+++=its
capacity ^nn++++=capacity
by ^in++++=by
implementing ^xvbg+++xvbg+=implementing
Bolsa ^np+++??+=Bolsa
Fam ^np+++??+=Fam
lia ^nn+++??+=lia,
, ^zz++++=EXTRAWORD
the ^ati++++=the
world ^nn++++=world
s ^zz++++=s
largest ^jjt+atrb+++=largest
conditional ^jj+atrb+++=conditional
cash ^nn++++=cash
transfer ^nn++++=transfer
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
reached ^vprf+++xvbn+=reached
14 ^cd++++=14
million ^cd++++=million
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
families ^nns++++=families
( ^zz++++=(Morais
morais ^nns+++??+=EXTRAWORD
de ^&fw++++=de
S ^zz++++=S
e ^zz++++=e
Silva ^np+++??+=Silva,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
also ^rb++++=also
maintains ^vbz+vpub+++=maintains
a ^at++++=a
universal ^jj+atrb+++=universal
health ^nn++++=health
system ^nn++++=system
( ^zz++++=(SUS)
sus ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
provides ^vbz+vsua+++=provides
free ^jj+atrb+++=free
healthcare ^nn+++??+=healthcare
services ^nns++++=services,
, ^zz++++=EXTRAWORD
including ^in++++=including
comprehensive ^jj+atrb+++=comprehensive
immunization ^nn+++??+=immunization,
, ^zz++++=EXTRAWORD
to ^in++++=to
all ^abn++++=all
citizens ^nns++++=citizens
nationwide ^jj++++=nationwide.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
country ^nn++++=country
has ^vbz+hvz+vrb++=has
a ^at++++=a
network ^nn++++=network
of ^in++++=of
69 ^cd++++=69
federal ^jj+atrb+++=federal
universities ^nns++++=universities
that ^tht+rel+obj++=that
offer ^nn++++=offer
free ^jj++++=free,
, ^zz++++=EXTRAWORD
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
undergraduate ^nn++++=undergraduate
and ^cc++++=and
graduate ^nn++++=graduate
education ^nn++++=education.
. ^zz++++=EXTRAWORD
The ^ati++++=The
range ^nn++++=range
of ^in++++=of
institutions ^nns++++=institutions
and ^cc++++=and
policies ^nns++++=policies
is ^vbz+bez+vrb++=is
considerable ^jj+pred+++=considerable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
none ^pn++++=none
are ^vb+ber+vrb++=are
without ^in++++=without
shortcomings ^nns++++=shortcomings,
, ^zz++++=EXTRAWORD
many ^ap++++=many
have ^vb+hv+aux++=have
achieved ^vprf+++xvbnx+=achieved
sufficient ^jj+atrb+++=sufficient
success ^nn++++=success
to ^to++++=to
attract ^vbi++++=attract
international ^jj+atrb+++=international
attention ^nn++++=attention
and ^cc++++=and
serve ^vb++++=serve
as ^ql++++=as
models ^nns++++=models
for ^in++++=for
experience ^nn++++=experience-sharing
- ^zz++++=EXTRAWORD
sharing ^vbg+++xvbg+=EXTRAWORD
with ^in++++=with
other ^ap++++=other
countries ^nns++++=countries
in ^in++++=in
the ^ati++++=the
global ^jj+atrb+++=Global
south ^nr+pl+++=South
( ^zz++++=(Porto
porto ^nn++++=EXTRAWORD
de ^&fw++++=de
oliveira ^np++++=Oliveira,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
