Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
reducing ^vbg+++xvbg+=reducing
discrepancies ^nns++++=discrepancies
between ^in++++=between
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
healthcare ^nn+++??+=healthcare
findings ^nns++++=findings
necessitates ^vbz++++=necessitates
the ^ati++++=the
allocation ^nn++++=allocation
of ^in++++=of
resources ^nns++++=resources
to ^to++++=to
improve ^vbi++++=improve
governance ^nn+++??+=governance,
, ^zz++++=EXTRAWORD
enhance ^vb++++=enhance
recruitment ^nn++++=recruitment
and ^cc++++=and
training ^nn++++=training
of ^in++++=of
health ^nn++++=health
teams ^nns++++=teams,
, ^zz++++=EXTRAWORD
acquire ^vb++++=acquire
equipment ^nn++++=equipment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adapt ^vb++++=adapt
services ^nns++++=services.
. ^zz++++=EXTRAWORD
Discrepancies ^nns++++=Discrepancies
between ^in++++=between
public ^nn++++=public
and ^cc++++=and
private ^jj+atrb+++=private
sectors ^nns++++=sectors
may ^md+pos+++=may
also ^rb++++=also
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
higher ^jjr+atrb+++=higher
morbidity ^nn+++??+=morbidity
among ^in++++=among
patients ^nns++++=patients
utilizing ^nn+++??+=utilizing
public ^jj+atrb+++=public
services ^nns++++=services,
, ^zz++++=EXTRAWORD
a ^at++++=a
factor ^nn++++=factor
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
fully ^rb+amp+++=fully
addressed ^vbd+++xvbn+=addressed
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
range ^nn++++=range
of ^in++++=of
morbidities ^nns++++=morbidities
considered ^vwbn+vprv++xvbn+=considered.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
well ^rb++splt++=well
established ^vpsv++agls+xvbnx+=established
that ^tht+vcmp+++=that
individuals ^nns++++=individuals
of ^in++++=of
lower ^jjr+atrb+++=lower
socioeconomic ^nn+++??+=socioeconomic
status ^nn++++=status,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
use ^vbi++++=use
public ^jj+atrb+++=public
healthcare ^nn+++??+=healthcare
services ^nns++++=services,
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
a ^at++++=a
higher ^jjr+atrb+++=higher
prevalence ^nn+++??+=prevalence
of ^in++++=of
unhealthy ^jj+atrb+++=unhealthy
lifestyle ^nn+++??+=lifestyle
behaviors ^nns+++??+=behaviors.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
dietary ^jj+atrb+++=dietary
data ^nns++++=data
from ^in++++=from
Brazil ^np++++=Brazil
indicate ^vb+vprv+++=indicate
poorer ^jjr+atrb+++=poorer
food ^nn++++=food
consumption ^nn++++=consumption
patterns ^nns++++=patterns
among ^in++++=among
those ^dt+dem+++=those
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
incomes ^nns++++=incomes.
. ^zz++++=EXTRAWORD
