There ^ex+pex+++=There
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
deliberate ^jj+atrb+++=deliberate
effort ^nn++++=effort
to ^to+ncmp+++=to
undermine ^vbi++++=undermine
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
establishment ^nn++++=establishment
of ^in++++=of
an ^at++++=an
intended ^jj+atrb++xvbn+=intended
authoritarian ^jj+atrb+++=authoritarian
regime ^nn++++=regime.
. ^zz++++=EXTRAWORD
In ^in++++=In
certain ^jj+atrb+++=certain
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
laws ^nns++++=laws
are ^vb+ber+aux++=are
not ^xnot++not++=not
being ^vbg+beg++xvbg+=being
formally ^rb++++=formally
repealed ^vpsv++agls+xvbn+=repealed,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
systematic ^jj+atrb+++=systematic
dismantling ^nn++++=dismantling
of ^in++++=of
institutional ^jj+atrb+++=institutional
processes ^nns++++=processes
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
resulting ^vbg+++xvbgx+=resulting
in ^in++++=in
the ^ati++++=the
erosion ^nn++++=erosion
of ^in++++=of
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reversal ^nn++++=reversal
of ^in++++=of
which ^whp+rel+pied++=which
remains ^vbz++++=remains
uncertain ^jj++++=uncertain
( ^zz++++=(interview
interview ^nn++++=EXTRAWORD
41 ^cd++++=41).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
