Given ^vbd+++xvbn+=Given
the ^ati++++=the
incompatibility ^nn++++=incompatibility
of ^in++++=of
cultural ^jj+atrb+++=cultural
moral ^jj+atrb+++=moral
claims ^nns++++=claims,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
schools ^nns++++=schools
should ^md+nec+++=should
prioritize ^vb+++??+=prioritize
the ^ati++++=the
promotion ^nn++++=promotion
of ^in++++=of
truth ^nn++++=truth-seeking
- ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=EXTRAWORD
over ^in++++=over
adopting ^xvbg+++xvbg+=adopting
a ^at++++=a
stance ^nn++++=stance
of ^in++++=of
neutrality ^nn++++=neutrality
toward ^in++++=toward
differing ^xvbg+++xvbg+=differing
narratives ^nns++++=narratives,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
still ^rb+atrb+++=still
fostering ^jj+atrb++??+=fostering
reflective ^jj+atrb+++=reflective
and ^cc+phrs+++=and
critical ^jj+atrb+++=critical
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
In ^in++++=In
contemporary ^nn++++=contemporary
democracies ^nns+++??+=democracies,
, ^zz++++=EXTRAWORD
contentious ^jj+atrb+++=contentious
issues ^nns++++=issues
such ^abl++++=such
as ^ql++++=as
those ^dt+pdem+++=those
found ^vbd+vprv++xvbn+=found
in ^in++++=in
bioethics ^nns+++??+=bioethics,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender
discrimination ^nn++++=discrimination,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
balance ^nn++++=balance
between ^in++++=between
individual ^nn++++=individual
and ^cc++++=and
collective ^jj+atrb+++=collective
rights ^nns++++=rights
exemplify ^vb++++=exemplify
conflicting ^jj+atrb+++=conflicting
interpretations ^nns++++=interpretations
of ^in++++=of
human ^jj+atrb+++=human
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
each ^dt++++=each
rooted ^jj+++xvbn+=rooted
in ^in++++=in
distinct ^jj+atrb+++=distinct
ontological ^nn+++??+=ontological
and ^cc++++=and
epistemological ^nn+++??+=epistemological
frameworks ^nns++++=frameworks.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
shared ^jj+atrb++xvbn+=shared
principles ^nns++++=principles
of ^in++++=of
justice ^nn++++=justice
grounded ^vbd+++xvbn+=grounded
in ^in++++=in
universally ^rb++++=universally
accepted ^jj+atrb++xvbn+=accepted
moral ^jj+atrb+++=moral
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
a ^at++++=a
purely ^rb++++=purely
narrativist ^nn+++??+=narrativist
approach ^nn++++=approach
to ^in++++=to
moral ^jj+atrb+++=moral
and ^cc+phrs+++=and
political ^jj+atrb+++=political
values ^nns++++=values
one ^cd1++++=one
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
disconnected ^nn+++??+=disconnected
from ^in++++=from
a ^at++++=a
collective ^jj+atrb+++=collective
pursuit ^nn++++=pursuit
of ^in++++=of
the ^ati++++=the
validity ^nn++++=validity
of ^in++++=of
truth ^nn++++=truth
claims ^nns++++=claims
cannot ^md+pos+not++=cannot
effectively ^rb++splt++=effectively
promote ^vb++++=promote
social ^jj+atrb+++=social
cohesion ^nn++++=cohesion.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
disparate ^jj+atrb+++=disparate
ethical ^jj+atrb+++=ethical
claims ^nns++++=claims
are ^vb+ber+aux++=are
asserted ^vpsv++agls+xvbnx+=asserted
without ^in++++=without
reference ^nn++++=reference
to ^in++++=to
common ^jj+atrb+++=common
standards ^nns++++=standards,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
communities ^nns++++=communities
may ^md+pos+++=may
recognize ^vb+vprv+++=recognize
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
a ^at++++=a
shared ^jj+atrb++xvbn+=shared
foundation ^nn++++=foundation
for ^in++++=for
accommodating ^xvbg+++xvbg+=accommodating
diverse ^jj+atrb+++=diverse
lifestyles ^nns+++??+=lifestyles
within ^in++++=within
a ^at++++=a
single ^jj+atrb+++=single
political ^jj+atrb+++=political
community ^nn++++=community,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
result ^vb++++=result
in ^in++++=in
disengagement ^nn++++=disengagement
rather ^rb++++=rather
than ^in++++=than
active ^jj+atrb+++=active
participation ^nn++++=participation.
. ^zz++++=EXTRAWORD
