The ^ati++++=The
frequency ^nn++++=frequency
of ^in++++=of
the ^ati++++=the
interventions ^nns++++=interventions
reported ^vbd+vpub++xvbn+=reported
in ^in++++=in
the ^ati++++=the
studies ^nns++++=studies
ranged ^vbd+++xvbn+=ranged
from ^in++++=from
1 ^zz++++=1
to ^to++++=to
3 ^zz++++=3
times ^nns++++=times
per ^nnu++++=per
week35,36,38 ^nn+++??+=week35,36,38
40,42,43,45,46,50,51 ^cd++++=40,42,43,45,46,50,51,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
4 ^zz++++=4
to ^to++++=to
5 ^zz++++=5
times ^nns++++=times
per ^nnu++++=per
week47,49 ^nn+++??+=week47,49;
; ^zz++++=EXTRAWORD
additionally ^nn+++??+=additionally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
studies ^nns++++=studies
implemented ^vwbn+++xvbn+=implemented
six ^cd++++=six
sessions ^nns++++=sessions
over ^in++++=over
a ^at++++=a
six ^cd++++=six-month
- ^zz++++=EXTRAWORD
month ^nn++++=EXTRAWORD
period41,48 ^nn+++??+=period41,48.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
studies ^nns++++=studies
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
frequency ^nn++++=frequency
of ^in++++=of
the ^ati++++=the
interventions37,44 ^nn++++=interventions37,44.
. ^zz++++=EXTRAWORD
