Select ^jj+atrb+++=Select
data ^nns++++=data
collection ^nn++++=collection
techniques ^nns++++=techniques
and ^cc++++=and
propose ^vb++++=propose
appropriate ^jj+atrb+++=appropriate
instruments ^nns++++=instruments
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
focus ^nn++++=focus,
, ^zz++++=EXTRAWORD
design ^nn++++=design,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
type ^nn++++=type
of ^in++++=of
the ^ati++++=the
research ^nn++++=research.
. ^zz++++=EXTRAWORD
