By ^in++++=By
mapping ^nn++++=mapping
the ^ati++++=the
landscape ^nn++++=landscape
of ^in++++=of
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trial ^nn++++=trial
protocols ^nns++++=protocols
that ^tht+rel+subj++=that
incorporate ^vb++++=incorporate
physical ^jj+atrb+++=physical
activity ^nn++++=activity
for ^in++++=for
women ^nns++++=women
with ^in++++=with
breast ^nn++++=breast
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
scoping ^nn+++??+=scoping
review ^nn++++=review
provides ^vbz+vsua+++=provides
new ^jj+atrb+++=new
insights ^nns++++=insights
into ^in++++=into
potential ^jj+atrb+++=potential
interventions ^nns++++=interventions
for ^in++++=for
healthcare ^nn+++??+=healthcare
professionals ^nns++++=professionals.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
review ^nn++++=review
aims ^vb++++=aims
to ^to+vcmp+++=to
support ^vbi++++=support
improvements ^nns++++=improvements
in ^in++++=in
the ^ati++++=the
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
of ^in++++=of
women ^nns++++=women
with ^in++++=with
breast ^nn++++=breast
cancer ^nn++++=cancer
through ^in++++=through
complementary ^jj+atrb+++=complementary
therapies ^nns+++??+=therapies.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
scoping ^nn+++??+=scoping
review ^nn++++=review
sought ^vbd+++xvbn+=sought
to ^to++++=to
identify ^vbi++++=identify
and ^cc+phrs+++=and
characterize ^vb++++=characterize
study ^nn++++=study
protocols ^nns++++=protocols
involving ^vwbg+++xvbg+=involving
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and/or
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
as ^ql++++=as
interventions ^nns++++=interventions
during ^in++++=during
breast ^nn++++=breast
cancer ^nn++++=cancer
treatment ^nn++++=treatment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
review ^nn++++=review
highlights ^nns++++=highlights
the ^ati++++=the
types ^nns++++=types,
, ^zz++++=EXTRAWORD
frequency ^nn++++=frequency,
, ^zz++++=EXTRAWORD
duration ^nn++++=duration,
, ^zz++++=EXTRAWORD
intensity ^nn++++=intensity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
timing ^nn++++=timing
of ^in++++=of
these ^dt+dem+++=these
therapeutic ^jj+atrb+++=therapeutic
interventions ^nns++++=interventions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
outcomes ^nn++++=outcomes
reported ^vpsv++agls+xvbn+=reported
in ^in++++=in
the ^ati++++=the
included ^vbd+++xvbn+=included
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
