After ^cs+sub+++=After
obtaining ^xvbg+++xvbg+=obtaining
the ^ati++++=the
percentages ^nns++++=percentages
presented ^vwbn+++xvbn+=presented
in ^in++++=in
the ^ati++++=the
tables ^nns++++=tables
from ^in++++=from
Spss ^np+++??+=SPSS,
, ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
t ^zz++++=t-tests
- ^zz++++=EXTRAWORD
tests ^nns++++=EXTRAWORD
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
identify ^vbi++++=identify
factors ^nns++++=factors
influencing ^vwbg+++xvbg+=influencing
the ^ati++++=the
choice ^nn++++=choice
of ^in++++=of
antecedent ^nn++++=antecedent
in ^in++++=in
the ^ati++++=the
sentence ^nn++++=sentence
pairs ^nns++++=pairs.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
Portuguese ^nn++++=Portuguese
speakers ^nns++++=speakers
responses ^nns++++=responses
were ^vbd+bed+aux++=were
significantly ^rb++splt++=significantly
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
salience ^nn++++=salience
of ^in++++=of
the ^ati++++=the
anaphors ^nns+++??+=anaphors
across ^in+pl+++=across
the ^ati++++=the
three ^cd++++=three
languages ^nns++++=languages
at ^in++++=at
the ^ati++++=the
0.001 ^nn+++??+=0.001
significance ^nn++++=significance
level ^nn++++=level,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
semantic ^jj+atrb+++=semantic
opposition ^nn++++=opposition
to ^in++++=to
the ^ati++++=the
Position ^nn++++=Position
of ^in++++=of
Antecedent ^jj+atrb+++=Antecedent
Strategy ^nn++++=Strategy.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
native ^jj+atrb+++=native
speakers ^nns++++=speakers
of ^in++++=of
Spanish ^jj++++=Spanish
and ^cc++++=and
English ^nn++++=English
were ^vbd+bed+aux++=were
not ^xnot++not++=not
significantly ^rb++++=significantly
influenced ^vpsv++by+xvbn+=influenced
by ^in++++=by
either ^dtx++++=either
the ^ati++++=the
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
clauses ^nns++++=clauses
or ^cc++++=or
the ^ati++++=the
salience ^nn++++=salience
of ^in++++=of
the ^ati++++=the
anaphors ^nns+++??+=anaphors.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
participants ^nns++++=participants
from ^in++++=from
all ^abn++++=all
language ^nn++++=language
groups ^nns++++=groups
were ^vbd+bed+aux++=were
significantly ^rb++splt++=significantly
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
semantic ^jj+atrb+++=semantic
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
verbs ^nns++++=verbs
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.03 ^nn+++??+=0.03).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns++++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
among ^in++++=among
students ^nns++++=students
from ^in++++=from
different ^jj+atrb+++=different
Portuguese ^nn++++=Portuguese
Varieties ^nns++++=varieties
Or ^cc++++=or
Among ^in++++=among
Those ^dt+dem+++=those
With ^in++++=with
Varying ^jj+atrb+++=varying
Proficiency ^nn++++=proficiency
Levels ^nns++++=levels.
 ^zz++++=EXTRAWORD
