A ^at++++=A
total ^nn++++=total
of ^in++++=of
1,762 ^cd++++=1,762
residents ^nns++++=residents
were ^vbd+bed+aux++=were
evaluated ^vpsv++agls+xvbnx+=evaluated,
, ^zz++++=EXTRAWORD
with ^in++++=with
764 ^cd++++=764
( ^zz++++=(43.4%)
43.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
Mariana ^np+++??+=Mariana
and ^cc++++=and
998 ^cd++++=998
( ^zz++++=(56.6%)
56.6 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
from ^in++++=from
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto.
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
both ^abx++++=both
cities ^nns++++=cities,
, ^zz++++=EXTRAWORD
51.9 ^cd++++=51.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
participants ^nns++++=participants
were ^vbd+bed+vrb++=were
female ^nn++++=female,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
majority ^nn++++=majority
were ^vbd+bed+vrb++=were
aged ^jj+pred+++=aged
35 ^cd++++=35
to ^to++++=to
59 ^cd++++=59
years ^nns++++=years
( ^zz++++=(47.2%).
47.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
overall ^jjb+atrb+++=overall
prevalence ^nn+++??+=prevalence
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
was ^vbd+bedz+vrb++=was
5.5 ^cd++++=5.5%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
rates ^nns++++=rates
of ^in++++=of
6.2 ^cd++++=6.2%
% ^zz++++=EXTRAWORD
in ^in++++=in
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto
and ^cc++++=and
4.7 ^cd++++=4.7%
% ^zz++++=EXTRAWORD
in ^in++++=in
Mariana ^np+++??+=Mariana.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
difference ^nn++++=difference
in ^in++++=in
prevalence ^nn+++??+=prevalence
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
cities ^nns++++=cities
( ^zz++++=(P
p ^zz++++=EXTRAWORD
> ^zz++++=>
0.05 ^nn++++=0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
