A ^at++++=A
final ^jj+atrb+++=final
relevant ^jj+atrb+++=relevant
methodological ^jj+atrb+++=methodological
point ^nn++++=point
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
numbers ^nns++++=numbers
of ^in++++=of
deaths ^nns++++=deaths
used ^md"++pmd"++=used
to ^to++++=to
calculate ^vb++++=calculate
age ^nn++++=age-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
( ^zz++++=(mij)
mij ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
not ^xnot++not++=not
taken ^vbd+++xvbn+=taken
directly ^rb++++=directly
from ^in++++=from
the ^ati++++=the
reported ^jj+atrb++xvbn+=reported
sources ^nns++++=sources.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
disaggregated ^nn+++??+=disaggregated
by ^in++++=by
age ^nn++++=age
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reference ^nn++++=reference
dates ^nns++++=dates
for ^in++++=for
these ^dt+dem+++=these
data ^nns++++=data
vary ^vb++++=vary
considerably ^rb++++=considerably
and ^cc++++=and
are ^vb+ber+vrb++=are
not ^xnot++not++=not
consistent ^jj++++=consistent,
, ^zz++++=EXTRAWORD
even ^rb++++=even
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
developed ^jj+atrb++xvbn+=developed
countries ^nns++++=countries
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Chart ^nn++++=Chart
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
significant ^jj+atrb+++=significant
efforts ^nns++++=efforts,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
countries ^nns++++=countries
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
available ^jj+atrb+++=available
data ^nns++++=data
correspond ^vb++++=correspond
to ^in++++=to
dates ^nns++++=dates
such ^abl++++=such
as ^ql++++=as
9 ^zz++++=9/11/2020
for ^in++++=for
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
10 ^cd++++=10/25/2020
for ^in++++=for
Turkey ^nn++++=Turkey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
11 ^cd++++=11/6/2020
for ^in++++=for
Poland ^np++++=Poland.
. ^zz++++=EXTRAWORD
Regardless ^rb++++=Regardless
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
lag ^nn++++=lag,
, ^zz++++=EXTRAWORD
international ^jj+atrb+++=international
comparisons ^nns++++=comparisons
require ^vb+vsua+++=require
that ^tht+vcmp+++=that
the ^ati++++=the
numbers ^nns++++=numbers
of ^in++++=of
deaths ^nns++++=deaths
by ^in++++=by
age ^nn++++=age
group ^nn++++=group
refer ^vb++++=refer
to ^in++++=to
a ^at++++=a
single ^jj+atrb+++=single
reference ^nn++++=reference
date ^nn++++=date.
. ^zz++++=EXTRAWORD
To ^to++++=To
achieve ^vbi++++=achieve
this ^dt+dem+++=this
temporal ^jj+atrb+++=temporal
standardization ^nn++++=standardization,
, ^zz++++=EXTRAWORD
the ^ati++++=the
accumulated ^jj+atrb++xvbn+=accumulated
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
each ^dt++++=each
country ^nn++++=country
up ^rp++++=up
to ^to++++=to
1 ^zz++++=1/28/2021
was ^vbd+bedz+aux++=was
distributed ^vpsv++agls+xvbnx+=distributed
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
age ^nn++++=age-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
pattern ^nn++++=pattern
observed ^vbd+vprv++xvbn+=observed
at ^rb++++=at
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
date ^nn++++=date
for ^in++++=for
which ^whp+rel+pied++=which
disaggregated ^nn+++??+=disaggregated
data ^nns++++=data
were ^vbd+bed+vrb++=were
available ^jj+pred+++=available.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
age ^nn++++=age
distribution ^nn++++=distribution
of ^in++++=of
mortality ^nn++++=mortality
was ^vbd+bedz+aux++=was
extrapolated ^vwbn+++xvbn+=extrapolated
to ^to++++=to
the ^ati++++=the
reference ^nn++++=reference
date ^nn++++=date.
. ^zz++++=EXTRAWORD
