A ^at++++=A
comprehensive ^jj+atrb+++=comprehensive
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
discrepancies ^nns++++=discrepancies
in ^in++++=in
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rates ^nns++++=rates
among ^in++++=among
countries ^nns++++=countries
falls ^vbz++++=falls
outside ^jjb++++=outside
the ^ati++++=the
scope ^nn++++=scope
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.
. ^zz++++=EXTRAWORD
Apart ^rp++++=Apart
from ^in++++=from
the ^ati++++=the
age ^nn++++=age
distribution ^nn++++=distribution
of ^in++++=of
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
accounted ^vpsv++agls+xvbnx+=accounted
for ^in+ppvb+++=for
in ^in++++=in
the ^ati++++=the
calculation ^nn++++=calculation
of ^in++++=of
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
all ^abn++++=all
other ^ap++++=other
determinants ^nns++++=determinants
influencing ^vwbg+++xvbg+=influencing
disease ^nn++++=disease
incidence ^nn++++=incidence
and ^cc++++=and
lethality ^nn+++??+=lethality
also ^rb++++=also
impact ^nn++++=impact
these ^dt+dem+++=these
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
identifies ^vbz++++=identifies
a ^at++++=a
clear ^jj+atrb+++=clear
inverse ^jj+atrb+++=inverse
association ^nn++++=association
between ^in++++=between
health ^nn++++=health
expenditure ^nn++++=expenditure
levels ^nns++++=levels
and ^cc++++=and
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rates ^nns++++=rates
among ^in++++=among
Western ^jj+atrb+++=Western
developing ^jj+atrb++xvbg+=developing
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
relationship ^nn++++=relationship
is ^vbz+bez+aux++=is
illustrated ^vpsv++agls+xvbnx+=illustrated
in ^in++++=in
Figure ^nn++++=Figure
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
horizontal ^jj+atrb+++=horizontal
axis ^nn++++=axis
represents ^vbz++++=represents
current ^jj+atrb+++=current
per ^nnu++++=per
capita ^nn+++??+=capita
health ^nn++++=health
expenditure ^nn++++=expenditure,
, ^zz++++=EXTRAWORD
expressed ^j+++xvbn+=expressed
in ^in++++=in
Us ^pp1o+pp1+++=US
dollars ^nns++++=dollars
adjusted ^vwbn+++xvbn+=adjusted
for ^in++++=for
purchasing ^xvbg+++xvbg+=purchasing
power ^nn++++=power
parity ^nn++++=parity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
vertical ^jj+atrb+++=vertical
axis ^nn++++=axis
displays ^nns++++=displays
the ^ati++++=the
adjusted ^jj+atrb++xvbn+=adjusted
mortality ^nn++++=mortality
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
size ^nn++++=size
of ^in++++=of
each ^dt++++=each
sphere ^nn++++=sphere
corresponds ^vbz++++=corresponds
to ^in++++=to
the ^ati++++=the
absolute ^jj+atrb+++=absolute
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
each ^dt++++=each
country ^nn++++=country.
. ^zz++++=EXTRAWORD
