The ^ati++++=The
medicinal ^jj+atrb+++=medicinal
properties ^nns++++=properties
of ^in++++=of
Valeriana ^np+++??+=Valeriana
officinalis ^nns+++??+=officinalis
are ^vb+ber+aux++=are
primarily ^rb+down+splt++=primarily
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
its ^pp$+it+++=its
volatile ^jj+atrb+++=volatile
oils ^nns++++=oils,
, ^zz++++=EXTRAWORD
valepotriates ^nns+++??+=valepotriates,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
precursors ^nns++++=precursors
( ^zz++++=(Houghton,
houghton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999;
; ^zz++++=EXTRAWORD
Ricigliano ^np+++??+=Ricigliano
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Valerenic ^np+++??+=Valerenic
acid ^nn++++=acid
and ^cc++++=and
valerenol ^nn+++??+=valerenol
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
the ^ati++++=the
activity ^nn++++=activity
of ^in++++=of
various ^jj+atrb+++=various
recombinant ^nn+++??+=recombinant
Gaba ^np+++??+=GABA
receptors ^nns+++??+=receptors
( ^zz++++=(Becker
becker ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
volatile ^jj+atrb+++=volatile
oils ^nns++++=oils
inhibit ^vb++++=inhibit
the ^ati++++=the
enzyme ^nn+++??+=enzyme
responsible ^jj++++=responsible
for ^in++++=for
Gaba ^np+++??+=GABA
metabolism ^nn++++=metabolism
in ^in++++=in
the ^ati++++=the
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^to++++=to
increased ^vbi++++=increased
Gaba ^np+++??+=GABA
concentrations ^nns++++=concentrations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
sedative ^nn++++=sedative
effects ^nns++++=effects
and ^cc++++=and
reduced ^jj+++xvbn+=reduced
central ^jj+atrb+++=central
nervous ^jj+atrb+++=nervous
system ^nn++++=system
activity ^nn++++=activity,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
a ^at++++=a
central ^jj++++=central
rather ^rb++++=rather
than ^in++++=than
peripheral ^jj+atrb+++=peripheral
mechanism ^nn++++=mechanism
of ^in++++=of
action ^nn++++=action
( ^zz++++=(Thomas
thomas ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
