Regarding ^in++++=Regarding
treatment ^nn++++=treatment,
, ^zz++++=EXTRAWORD
several ^ap++++=several
studies ^nns++++=studies
included ^vbd+++xvbn+=included
women ^nns++++=women
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
undergoing ^vbg+++xvbgx+=undergoing
therapies ^nns+++??+=therapies
such ^abl++++=such
as ^ql++++=as
chemotherapy ^vb+++??+=chemotherapy,
, ^zz++++=EXTRAWORD
radiotherapy ^nn+++??+=radiotherapy,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
adjuvant ^nn+++??+=adjuvant
treatments35 ^nn+++??+=treatments35
37,39,41,44,47,49 ^cd++++=37,39,41,44,47,49,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
others ^aps++++=others
focused ^jj+++xvbn+=focused
on ^in++++=on
participants ^nns++++=participants
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
adjuvant ^nn+++??+=adjuvant
chemotherapy ^nn+++??+=chemotherapy
and ^cc++++=and
radiotherapy40,43,48 ^nn+++??+=radiotherapy40,43,48.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
study ^nn++++=study
involved ^vbd+++xvbn+=involved
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
received ^vbd+++xvbn+=received
neoadjuvant ^nn+++??+=neoadjuvant
therapy42 ^nn+++??+=therapy42.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
four ^cd++++=four
studies ^nns++++=studies
included ^vbd+++xvbn+=included
women ^nns++++=women
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
scheduled ^vpsv++agls+xvbnx+=scheduled
to ^to+vcmp+++=to
undergo ^vbi++++=undergo
chemotherapy38,45,46,51 ^nn+++??+=chemotherapy38,45,46,51,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
study ^nn++++=study
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
treatment ^nn++++=treatment
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
female ^nn++++=female
participants50 ^nn++++=participants50.
. ^zz++++=EXTRAWORD
