According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
several ^ap++++=several
factors ^nns++++=factors
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
differences ^nns++++=differences
in ^in++++=in
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
rates ^nns++++=rates
between ^in++++=between
regions ^nns++++=regions
and ^cc++++=and
among ^in++++=among
distinct ^jj+atrb+++=distinct
population ^nn++++=population
groups ^nns++++=groups.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
factors ^nns++++=factors
include ^vb++++=include
variations ^nns++++=variations
in ^in++++=in
the ^ati++++=the
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic,
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
testing ^jj+atrb++xvbg+=testing
capacity ^nn++++=capacity,
, ^zz++++=EXTRAWORD
delayed ^xvbn+++xvbn+=delayed
case ^nn++++=case
detection ^nn++++=detection,
, ^zz++++=EXTRAWORD
differences ^nns++++=differences
in ^in++++=in
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
control ^nn++++=control
measures ^nns++++=measures
such ^abl++++=such
as ^ql++++=as
movement ^nn++++=movement
restrictions ^nns++++=restrictions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
local ^jj+atrb+++=local
sociodemographic ^nn+++??+=sociodemographic
and ^cc++++=and
socioeconomic ^nn+++??+=socioeconomic
characteristics ^nns++++=characteristics.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
environmental ^jj+atrb+++=environmental
and ^cc+phrs+++=and
meteorological ^jj+atrb+++=meteorological
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
including ^in++++=including
humidity ^nn++++=humidity
and ^cc++++=and
air ^nn++++=air
pollution ^nn++++=pollution,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbn+=identified
as ^ql++++=as
potential ^jj+atrb+++=potential
contributors ^nns++++=contributors
to ^in++++=to
these ^dt+dem+++=these
disparities ^nns++++=disparities
[ ^zz++++=[4,29].
4,29 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
