Regarding ^in++++=Regarding
the ^ati++++=the
locations ^nns++++=locations
where ^wrb+who+++=where
the ^ati++++=the
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
nine ^cd++++=nine
were ^vbd+bed+aux++=were
carried ^vpsv++agls+xvbnx+=carried
out ^rp+pl+++=out
in ^in++++=in
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
in ^in++++=in
Spain40 ^np+++??+=Spain40,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Netherlands42 ^np+++??+=Netherlands42,
, ^zz++++=EXTRAWORD
Denmark35 ^np+++??+=Denmark35,
, ^zz++++=EXTRAWORD
Italy48 ^np+++??+=Italy48,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom49 ^np+++??+=Kingdom49,
, ^zz++++=EXTRAWORD
France47 ^np+++??+=France47,
, ^zz++++=EXTRAWORD
Germany51,38 ^np+++??+=Germany51,38,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Switzerland50 ^np+++??+=Switzerland50;
; ^zz++++=EXTRAWORD
three ^cd++++=three
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
North ^np+pl+++=North
America ^np++++=America,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States44 ^np+++??+=States44
and ^cc++++=and
Canada45,39 ^np+++??+=Canada45,39;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
study ^nn++++=study
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
South ^np+pl+++=South
America ^np++++=America,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
in ^in++++=in
Brazil36 ^np+++??+=Brazil36;
; ^zz++++=EXTRAWORD
two ^cd++++=two
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
Oceania ^np+++??+=Oceania,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
Australia37,46 ^np+++??+=Australia37,46;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
studies ^nns++++=studies
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
asia ^np++++=Asia,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
in ^in++++=in
china43 ^np++++=China43
and ^cc++++=and
japan41 ^np++++=Japan41.
. ^zz++++=EXTRAWORD
