Etb ^np+++??+=ETB
National ^jj+atrb+++=National
Community ^nn++++=Community
Schools ^nns++++=Schools
deliver ^vb++++=deliver
Religious ^jj+atrb+++=Religious
Education ^nn++++=Education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
a ^at++++=a
model ^nn++++=model
that ^tht+rel+obj++=that
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
principles ^nns++++=principles
of ^in++++=of
multidenominational ^nn+++??+=multidenominational
education ^nn++++=education.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
incorporation ^nn++++=incorporation
of ^in++++=of
pupils ^nns++++=pupils
individual ^jj+atrb+++=individual
religious ^jj+atrb+++=religious
backgrounds ^nns++++=backgrounds
by ^in++++=by
encouraging ^jj+atrb+++=encouraging
engagement ^nn++++=engagement
with ^in++++=with
their ^pp$+pp3+++=their
parents ^nns++++=parents
and ^cc++++=and
religious ^jj+atrb+++=religious
communities ^nns++++=communities
in ^in++++=in
activities ^nns++++=activities
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
explore ^vbi++++=explore
conceptual ^jj+atrb+++=conceptual
meanings ^nns++++=meanings
and ^cc++++=and
spiritual ^jj+atrb+++=spiritual
experiences ^nns++++=experiences
collaboratively ^nn+++??+=collaboratively
with ^in++++=with
teachers ^nns++++=teachers
and ^cc++++=and
peers ^nns++++=peers.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
curriculum ^nn++++=curriculum
does ^vbz+doz+aux++=does
not ^xnot++not++=not
approach ^vb++++=approach
spiritual ^jj+atrb+++=spiritual
questions ^nns++++=questions
in ^in++++=in
isolation ^nn++++=isolation
but ^cc+cls+++=but
instead ^rb+cnj+++=instead
allows ^vbz++++=allows
for ^in+ppvb+++=for
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
subsidiarity ^nn+++??+=subsidiarity,
, ^zz++++=EXTRAWORD
respecting ^in++++=respecting
parental ^jj+atrb+++=parental
influence ^nn++++=influence
in ^in++++=in
religious ^jj+atrb+++=religious
matters ^nns++++=matters.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Goodness ^nn++++=Goodness
Me ^pp1o+pp1+++=Me,
, ^zz++++=EXTRAWORD
Goodness ^nn++++=Goodness
You ^pp2+pp2+++=You!
! ^zz++++=EXTRAWORD
( ^zz++++=(GMGY)
gmgy ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
curriculum ^nn++++=curriculum
supports ^vbz++++=supports
learning ^vbg+vprv++xvbg+=learning
as ^ql++++=as
an ^at++++=an
open ^jj++++=open-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
process ^nn++++=process
by ^in++++=by
avoiding ^xvbg+++xvbg+=avoiding
a ^at++++=a
strictly ^rb++++=strictly
defined ^vbn+vprv++xvbn+=defined
set ^vbd+++xvbn+=set
of ^in++++=of
classroom ^nn++++=classroom
topics ^nns++++=topics
and ^cc++++=and
content ^nn++++=content.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
promotes ^vbz++++=promotes
the ^ati++++=the
active ^jj+atrb+++=active
consideration ^nn++++=consideration
of ^in++++=of
pupils ^nns++++=pupils
personal ^jj+atrb+++=personal
experiences ^nns++++=experiences,
, ^zz++++=EXTRAWORD
enabling ^vbg+++xvbg+=enabling
both ^abx++++=both
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
to ^to++++=to
critically ^rb++splt++=critically
reassess ^vbi++++=reassess
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
various ^jj++++=various
religious ^jj++++=religious
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns++++=worldviews.
. ^zz++++=EXTRAWORD
