Mariana ^np+++??+=Mariana
and ^cc++++=and
Ouro ^np+++??+=Ouro
Preto ^np+++??+=Preto
are ^vb+ber+vrb++=are
neighboring ^jj+pred+++=neighboring,
, ^zz++++=EXTRAWORD
medium ^nn++++=medium-sized
- ^zz++++=EXTRAWORD
sized ^jj+atrb+++=EXTRAWORD
cities ^nns++++=cities
situated ^vwbn+++xvbn+=situated
in ^in++++=in
the ^ati++++=the
Serra ^np+++??+=Serra
do ^vb+do+vrb++=do
Espinha ^np+++??+=Espinha
o ^zz++++=o,
, ^zz++++=EXTRAWORD
a ^at++++=a
central ^jj++++=central-southern
- ^zz++++=EXTRAWORD
southern ^jj+atrb+++=EXTRAWORD
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
Iron ^nn++++=Iron
Quadrangle ^nn++++=Quadrangle,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
the ^ati++++=the
largest ^jjt+atrb+++=largest
iron ^nn++++=iron
ore ^nn++++=ore
producing ^vwbg+++xvbg+=producing
area ^nn++++=area
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
distinct ^jj++++=distinct
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
sociodemographic ^nn+++??+=sociodemographic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
geographical ^jj+atrb+++=geographical
characteristics ^nns++++=characteristics
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
Brazilian ^jj+atrb+++=Brazilian
municipalities ^nns+++??+=municipalities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
given ^vprf+++xvbn+=given
that ^dt+pdem+++=that
surveys ^vbz++++=surveys
from ^in++++=from
other ^ap++++=other
regions ^nns++++=regions
may ^md+pos+++=may
not ^xnot++not++=not
accurately ^rb++++=accurately
represent ^vb++++=represent
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
infection ^nn++++=infection
among ^in++++=among
their ^pp$+pp3+++=their
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
investigate ^vbi++++=investigate
the ^ati++++=the
local ^jj+atrb+++=local
dynamics ^nn++++=dynamics
of ^in++++=of
the ^ati++++=the
epidemic ^nn++++=epidemic
in ^in++++=in
these ^dt+dem+++=these
cities ^nns++++=cities.
. ^zz++++=EXTRAWORD
