To ^in++++=To
address ^nn++++=address
the ^ati++++=the
second ^od++++=second
research ^nn++++=research
question ^nn++++=question
regarding ^in++++=regarding
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
participants ^nns++++=participants
attitudes ^nns++++=attitudes
and ^cc++++=and
their ^pp$+pp3+++=their
emoji ^nn+++??+=emoji
use ^nn++++=use,
, ^zz++++=EXTRAWORD
Spearman ^np+++??+=Spearman
s ^zz++++=s
rho ^nn++++=rho
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
participants ^nns++++=participants
posttest ^jj+atrb++??+=posttest
scores ^nns++++=scores
and ^cc++++=and
their ^pp$+pp3+++=their
recorded ^jj+atrb++xvbn+=recorded
emoji ^nn+++??+=emoji
use ^nn++++=use.
. ^zz++++=EXTRAWORD
Due ^jj++++=Due
to ^to+jcmp+++=to
attrition ^vb+++??+=attrition,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
61 ^cd++++=61
participants ^nns++++=participants
completed ^vbd+++xvbn+=completed
both ^abx++++=both
the ^ati++++=the
pretest ^nn+++??+=pretest
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
included ^vbd+++xvbn+=included
demographic ^jj+atrb+++=demographic
information ^nn++++=information)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
posttest ^nn+++??+=posttest;
; ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
analyses ^nns++++=analyses
related ^vbd+++xvbn+=related
to ^in++++=to
emoji ^nn+++??+=emoji
use ^nn++++=use
were ^vbd+bed+aux++=were
limited ^vpsv++agls+xvbnx+=limited
to ^in++++=to
these ^dt+dem+++=these
61 ^cd++++=61
participants ^nns++++=participants
for ^in++++=for
the ^ati++++=the
second ^od++++=second
and ^cc++++=and
third ^od++++=third
research ^nn++++=research
questions ^nns++++=questions.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
third ^nn++++=third
research ^nn++++=research
question ^nn++++=question,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
examined ^vbd+++xvbn+=examined
the ^ati++++=the
associations ^nns++++=associations
between ^in++++=between
age ^nn++++=age,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
emoji ^nn+++??+=emoji
use ^nn++++=use,
, ^zz++++=EXTRAWORD
Spearman ^np+++??+=Spearman
s ^zz++++=s
rho ^nn++++=rho
analyses ^nns++++=analyses
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
age ^nn++++=age
and ^cc++++=and
emoji ^nn+++??+=emoji
use ^nn++++=use,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
independent ^jj+atrb+++=independent
samples ^nns++++=samples
t ^zz++++=t-tests
- ^zz++++=EXTRAWORD
tests ^nns++++=EXTRAWORD
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
with ^in++++=with
gender ^nn++++=gender
as ^in++++=as
the ^ati++++=the
independent ^jj+atrb+++=independent
variable ^nn++++=variable
and ^cc++++=and
emoji ^nn++++=emoji
use ^nn++++=use
as ^ql++++=as
the ^ati++++=the
dependent ^jj+atrb+++=dependent
variable ^nn++++=variable.
. ^zz++++=EXTRAWORD
