Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
design ^vb++++=design
a ^at++++=a
module ^nn+++??+=module
that ^tht+rel+subj++=that
enables ^vbz++++=enables
both ^abx++++=both
teachers ^nns++++=teachers
and ^cc++++=and
students ^nns++++=students
to ^to++++=to
understand ^vbi+vprv+++=understand
their ^pp$+pp3+++=their
roles ^nns++++=roles
within ^in++++=within
contemporary ^jj+atrb+++=contemporary
society ^nn++++=society,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
enhancing ^xvbg+++xvbg+=enhancing
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
Ict ^np+++??+=ICT
into ^in++++=into
educational ^jj+atrb+++=educational
processes ^nns++++=processes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
promote ^vbi++++=promote
high ^jj++++=high-quality
- ^zz++++=EXTRAWORD
quality ^nn++++=EXTRAWORD
educational ^jj+atrb+++=educational
experiences ^nns++++=experiences
in ^in++++=in
which ^whp+rel+pied++=which
content ^nn++++=content
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
merely ^rb+down+++=merely
replicated ^vb+++??+=replicated
through ^in++++=through
digital ^jj+atrb+++=digital
media ^nns++++=media
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner
as ^in++++=as
in ^in++++=in
traditional ^jj+atrb+++=traditional
classroom ^nn++++=classroom
settings ^nns++++=settings
( ^zz++++=(Cela-Renilla
cela ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
renilla ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Accordingly ^rb+cnj+++=Accordingly,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
completion ^nn++++=completion
of ^in++++=of
the ^ati++++=the
proposed ^jj+atrb++xvbn+=proposed
module ^nn++++=module,
, ^zz++++=EXTRAWORD
the ^ati++++=the
teacher ^nn++++=teacher
will ^md+prd+++=will
be ^vb+be+vrb++=be
able ^jj+pred+++=able
to ^to+jcmp+++=to:
: ^zz++++=EXTRAWORD
