Given ^vbd+++xvbn+=Given
the ^ati++++=the
impracticality ^nn+++??+=impracticality
of ^in++++=of
obtaining ^xvbg+++xvbg+=obtaining
comprehensive ^jj+atrb+++=comprehensive
data ^nns++++=data
from ^in++++=from
a ^at++++=a
single ^jj+atrb+++=single
source ^nn++++=source
and ^cc++++=and
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
scope ^nn++++=scope
of ^in++++=of
the ^ati++++=the
data ^nns++++=data
collection ^nn++++=collection
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
the ^ati++++=the
initial ^jj+atrb+++=initial
objective ^nn++++=objective
was ^vbd+bedz+aux++=was
to ^to++++=to
include ^vbi++++=include
countries ^nns++++=countries
that ^tht+rel+obj++=that
collectively ^nn+++??+=collectively
accounted ^vbd+++xvbn+=accounted
for ^in+ppvb+++=for
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
of ^in++++=of
global ^jj+atrb+++=global
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
the ^ati++++=the
34 ^cd++++=34
countries ^nns++++=countries
necessary ^jj++++=necessary
to ^to+jcmp+++=to
reach ^vbi++++=reach
this ^dt+dem+++=this
threshold ^nn++++=threshold,
, ^zz++++=EXTRAWORD
minimally ^nn+++??+=minimally
updated ^nn+++??+=updated
age ^nn++++=age-disaggregated
- ^zz++++=EXTRAWORD
disaggregated ^nn+++??+=EXTRAWORD
data ^nns++++=data
could ^md+pos+++=could
not ^xnot++not++=not
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
for ^in++++=for
six ^cd++++=six
countries ^nns++++=countries:
: ^zz++++=EXTRAWORD
Russia ^np++++=Russia,
, ^zz++++=EXTRAWORD
Iran ^np+++??+=Iran,
, ^zz++++=EXTRAWORD
Belgium ^np++++=Belgium,
, ^zz++++=EXTRAWORD
Romania ^np+++??+=Romania,
, ^zz++++=EXTRAWORD
Iraq ^np++++=Iraq,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bolivia ^np+++??+=Bolivia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remaining ^jj+++xvbg+=remaining
28 ^cd++++=28
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
relevant ^jj+atrb+++=relevant
data ^nns++++=data
were ^vbd+bed+aux++=were
successfully ^rb++splt++=successfully
obtained ^vpsv++agls+xvbnx+=obtained,
, ^zz++++=EXTRAWORD
represented ^j+++xvbn+=represented
82 ^cd++++=82%
% ^zz++++=EXTRAWORD
of ^in++++=of
global ^jj+atrb+++=global
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
deaths ^nns++++=deaths
as ^in++++=as
of ^in++++=of
january ^nr++++=January
28 ^cd++++=28,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021.
. ^zz++++=EXTRAWORD
