Throughout ^in++++=Throughout
this ^dt+dem+++=this
article ^nn++++=article,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
critically ^rb++splt++=critically
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
an ^at++++=an
impartial ^jj+atrb+++=impartial
and ^cc+phrs+++=and
neutralist ^jj+atrb+++=neutralist
approach ^nn++++=approach
to ^in++++=to
Religious ^jj+atrb+++=Religious
Education ^nn++++=Education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
either ^dtx++++=either
possible ^jj++++=possible
or ^cc+phrs+++=or
desirable ^jj++++=desirable,
, ^zz++++=EXTRAWORD
by ^in++++=by
highlighting ^nn+++??+=highlighting
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
scientific ^jj+atrb+++=scientific
object ^nn++++=object
and ^cc++++=and
the ^ati++++=the
rational ^jj+atrb+++=rational
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arguing ^vbg+vpub++xvbg+=arguing
that ^tht+vcmp+++=that
observers ^nns++++=observers
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
their ^pp$+pp3+++=their
own ^ap++++=own
historical ^jj+atrb+++=historical
contexts ^nns++++=contexts
and ^cc++++=and
epistemic ^nn+++??+=epistemic
frameworks ^nns++++=frameworks
when ^wrb+who+++=when
selecting ^vbg+++xvbg+=selecting
and ^cc++++=and
evaluating ^jj+atrb++??+=evaluating
evidence ^nn++++=evidence.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
multidenominational ^nn+++??+=multidenominational
models ^nns++++=models
of ^in++++=of
Re ^in++++=RE
which ^whp+rel+pied++=which
exclude ^vb++++=exclude
critical ^jj+atrb+++=critical
engagement ^nn++++=engagement
with ^in++++=with
the ^ati++++=the
substantive ^jj+atrb+++=substantive
truth ^nn++++=truth
and ^cc++++=and
moral ^jj+atrb+++=moral
claims ^nns++++=claims
of ^in++++=of
religious ^jj+atrb+++=religious
belief ^nn++++=belief
systems ^nns++++=systems
fail ^vb++++=fail
to ^to+vcmp+++=to
recognize ^vbi+vprv+++=recognize
the ^ati++++=the
potential ^nn++++=potential
of ^in++++=of
these ^dt+dem+++=these
conceptual ^jj+atrb+++=conceptual
resources ^nns++++=resources
to ^to++++=to
facilitate ^vbi++++=facilitate
emancipatory ^nn+++??+=emancipatory
changes ^nns++++=changes
in ^in++++=in
perception ^nn++++=perception.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
objective ^nn++++=objective
of ^in++++=of
Re ^in++++=RE
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
to ^to++++=to
lead ^vbi++++=lead
students ^nns++++=students
to ^in++++=to
any ^dti++++=any
predetermined ^jj+atrb++xvbn+=predetermined
conclusions ^nns++++=conclusions
regarding ^in++++=regarding
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
religious ^jj+atrb+++=religious
content ^nn++++=content
in ^in++++=in
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
support ^vb++++=support
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
critical ^jj+atrb+++=critical
capacities ^nns++++=capacities
that ^tht+rel+subj++=that
enable ^vb++++=enable
individuals ^nns++++=individuals
to ^to++++=to
make ^vb++++=make
informed ^vbn+vpub+++=informed
choices ^nns++++=choices
independently ^rb++++=independently.
. ^zz++++=EXTRAWORD
