As ^in++++=As
described ^nn++++=described
in ^in++++=in
previous ^jj+atrb+++=previous
sections ^nns++++=sections,
, ^zz++++=EXTRAWORD
the ^ati++++=the
model ^nn++++=model
is ^vbz+bez+aux++=is
composed ^vpsv++agls+xvbnx+=composed
of ^in++++=of
multiple ^jj+atrb+++=multiple
blocks ^nns++++=blocks
and ^cc++++=and
submodels ^nns+++??+=submodels,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
distinct ^jj+atrb+++=distinct
parameters ^nns++++=parameters
that ^tht+rel+subj++=that
require ^vb+vsua+++=require
adjustment ^nn++++=adjustment
to ^to++++=to
ensure ^vb+vprv+++=ensure
proper ^jj+atrb+++=proper
operation ^nn++++=operation.
. ^zz++++=EXTRAWORD
