Table ^nn++++=Table
3 ^zz++++=3
presents ^vbz++++=presents
the ^ati++++=the
matrix ^nn++++=matrix
values ^nns++++=values
, ^zz++++=,
, ^zz++++=,
for ^in++++=for
the ^ati++++=the
Hidden ^jj+++xvbn+=Hidden
Markov ^np+++??+=Markov
Model ^nn++++=Model
( ^zz++++=(HMM)
hmm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
neighborhood ^nn+++??+=neighborhood
l ^zz++++=l,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
age ^nn++++=age
group ^nn++++=group
0 ^zz++++=0
( ^zz++++=(Children)
children ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
time ^nn++++=time
slot ^nn++++=slot
0 ^zz++++=0
( ^zz++++=(Morning).
morning ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
a0,0,l(i ^nn+++??+=a0,0,l(i,
, ^zz++++=EXTRAWORD
j ^zz++++=j)
) ^zz++++=EXTRAWORD
represents ^vbz++++=represents
the ^ati++++=the
probability ^nn++++=probability
that ^tht+ncmp+++=that
a ^at++++=a
child ^nn++++=child
( ^zz++++=(e
e ^zz++++=EXTRAWORD
= ^zz++++==
0 ^zz++++=0)
) ^zz++++=EXTRAWORD
from ^in++++=from
neighborhood ^nn+++??+=neighborhood
l ^zz++++=l,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
morning ^nn++++=morning
( ^zz++++=(h
h ^zz++++=EXTRAWORD
= ^zz++++==
0 ^zz++++=0),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
transitions ^nns+++??+=transitions
from ^in++++=from
state ^nn++++=state
i ^pp1a+pp1+++=i
( ^zz++++=(row)
row ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^in++++=to
state ^nn++++=state
j ^zz++++=j
( ^zz++++=(column).
column ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
a0,0,l(1 ^nn+++??+=a0,0,l(1,
, ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
= ^zz++++==
25 ^cd++++=25
indicates ^vbz+vpub+++=indicates
the ^ati++++=the
probability ^nn++++=probability
value ^nn++++=value
( ^zz++++=(multiplied
multiplied ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
1000 ^cd++++=1000)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
a ^at++++=a
child ^nn++++=child
from ^in++++=from
neighborhood ^nn+++??+=neighborhood
l ^zz++++=l,
, ^zz++++=EXTRAWORD
within ^in++++=within
time ^nn++++=time
slot ^nn++++=slot
0 ^zz++++=0,
, ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
a ^at++++=a
work ^nn++++=work/study
location ^nn++++=location
( ^zz++++=(state
state ^nn++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
and ^cc++++=and
moves ^nns++++=moves
to ^in++++=to
a ^at++++=a
leisure ^nn++++=leisure
location ^nn++++=location
( ^zz++++=(state
state ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Appendix ^nn++++=Appendix
A ^at++++=A
provides ^vbz+vsua+tht0++=provides
the ^ati++++=the
complete ^nn++++=complete
set ^vbd+++xvbn+=set
of ^in++++=of
probability ^nn++++=probability
matrices ^nns++++=matrices
A ^at++++=A
and ^cc++++=and
B ^zz++++=B
for ^in++++=for
all ^abn++++=all
age ^nn++++=age
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
time ^nn++++=time
slots ^nns++++=slots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neighborhoods ^vbz+++??+=neighborhoods
defined ^vbd+vprv++xvbn+=defined
in ^in++++=in
Abcsim ^np+++??+=AbCSim,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase
of ^in++++=of
the ^ati++++=the
Preventive ^jj++++=Preventive
and ^cc+phrs+++=and
Mandatory ^jj+atrb+++=Mandatory
Social ^jj+atrb+++=Social
Isolation ^nn++++=Isolation
( ^zz++++=(PMSI)
pmsi ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
implemented ^vpsv++by+xvbn+=implemented
by ^in++++=by
the ^ati++++=the
argentine ^np++++=Argentine
national ^jj+atrb+++=National
government ^nn++++=Government.
. ^zz++++=EXTRAWORD
