Maintaining ^vbg+++xvbg+=Maintaining
a ^at++++=a
consistent ^jj+atrb+++=consistent
supply ^nn++++=supply
of ^in++++=of
environmental ^jj+atrb+++=environmental
goods ^nns++++=goods
and ^cc++++=and
services ^nns++++=services
through ^in++++=through
ecosystem ^nn+++??+=ecosystem
processes ^nns++++=processes
requires ^vbz++++=requires
high ^jj+atrb+++=high
water ^nn++++=water
quality ^nn++++=quality.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
53 ^cd++++=53%
% ^zz++++=EXTRAWORD
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
cities ^nns++++=cities
have ^vb+hv+aux++=have
experienced ^vprf+++xvbnx+=experienced
a ^at++++=a
decline ^nn++++=decline
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
quality ^nn++++=quality
and ^cc++++=and
quantity ^nn++++=quantity
of ^in++++=of
water ^nn++++=water
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
with ^in++++=with
38 ^cd++++=38%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
cases ^nns++++=cases
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
water ^nn++++=water
pollution ^nn++++=pollution
( ^zz++++=(Campanili
campanili ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
developing ^xvbg+++xvbg+=developing
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
untreated ^nn+++??+=untreated
domestic ^jj+atrb+++=domestic
and ^cc+phrs+++=and
industrial ^jj+atrb+++=industrial
effluents ^nns+++??+=effluents,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
agricultural ^jj+atrb+++=agricultural
runoff ^nn+++??+=runoff,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
discharged ^vpsv++agls+xvbnx+=discharged
into ^in++++=into
water ^nn++++=water
bodies ^nns++++=bodies
( ^zz++++=(SNIS,
snis ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
widespread ^jj+atrb+++=widespread
presence ^nn++++=presence
of ^in++++=of
contaminants ^nns++++=contaminants
in ^in++++=in
water ^nn++++=water
leads ^nns++++=leads
to ^in++++=to
the ^ati++++=the
degradation ^nn++++=degradation
of ^in++++=of
riverine ^nn+++??+=riverine
ecosystems ^nns+++??+=ecosystems,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
decomposition ^nn++++=decomposition
of ^in++++=of
organic ^jj+atrb+++=organic
matter ^nn++++=matter
from ^in++++=from
sewage ^nn++++=sewage
and ^cc++++=and
industrial ^jj+atrb+++=industrial
effluents ^nns+++??+=effluents
results ^nns++++=results
in ^in++++=in
reduced ^nn++++=reduced
dissolved ^vwbn+++xvbn+=dissolved
oxygen ^nn++++=oxygen
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
negatively ^rb++++=negatively
impacts ^nns+++??+=impacts
aquatic ^jj+atrb+++=aquatic
species ^nn++++=species
( ^zz++++=(CETESB,
cetesb ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
fertilizers ^nns++++=fertilizers
containing ^vwbg+++xvbg+=containing
high ^jj+atrb+++=high
concentrations ^nns++++=concentrations
of ^in++++=of
phosphorus ^nns+++??+=phosphorus
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
eutrophication ^nn+++??+=eutrophication
process ^nn++++=process
and ^cc++++=and
promote ^vb++++=promote
excessive ^jj+atrb+++=excessive
algal ^nn+++??+=algal
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
including ^in++++=including
species ^nn++++=species
capable ^jj++++=capable
of ^in++++=of
producing ^xvbg+++xvbg+=producing
and ^cc++++=and
releasing ^xvbg+++xvbg+=releasing
toxins ^nns+++??+=toxins
into ^in++++=into
the ^ati++++=the
water ^nn++++=water
( ^zz++++=(Barreto
barreto ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
introduction ^nn++++=introduction
of ^in++++=of
other ^ap++++=other
chemical ^jj+atrb+++=chemical
pollutants ^nns+++??+=pollutants,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
pharmaceuticals ^nns+++??+=pharmaceuticals,
, ^zz++++=EXTRAWORD
pesticides ^nns+++??+=pesticides,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
