Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
positive ^jj+atrb+++=positive
weak ^jj+atrb+++=weak
correlations ^nns++++=correlations
with ^in++++=with
magnitudes ^nns++++=magnitudes
greater ^jjr++++=greater
than ^in++++=than
0.2500 ^nn+++??+=0.2500
observed ^vbd+vprv++xvbn+=observed
between ^in++++=between
the ^ati++++=the
pairs ^nns++++=pairs
of ^in++++=of
dimensions ^nns++++=dimensions
" ^zz++++="Research"
research ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="International
international ^jj+atrb+++=EXTRAWORD
Orientation ^nn++++=Orientation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^in++++=as
" ^zz++++="Knowledge
knowledge ^nn++++=EXTRAWORD
Transfer ^nn++++=Transfer"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="International
international ^jj+atrb+++=EXTRAWORD
Orientation ^nn++++=Orientation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
indicate ^vb+vprv+++=indicate
a ^at++++=a
modest ^jj+atrb+++=modest
degree ^nn++++=degree
of ^in++++=of
similarity ^nn++++=similarity
in ^in++++=in
their ^pp$+pp3+++=their
performance ^nn++++=performance.
. ^zz++++=EXTRAWORD
