Given ^vbd+++xvbn+=Given
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
studies ^nns++++=studies
assessing ^vwbg+++xvbg+=assessing
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
valerian ^nn+++??+=valerian
in ^in++++=in
dentistry ^nn++++=dentistry,
, ^zz++++=EXTRAWORD
rigorously ^rb++++=rigorously
designed ^xvbn+++xvbn+=designed
controlled ^vbd+++xvbn+=controlled
trials ^nns++++=trials
are ^vb+ber+vrb++=are
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
generate ^vbi++++=generate
more ^rbr++++=more
robust ^jj+atrb+++=robust
evidence ^nn++++=evidence
regarding ^in++++=regarding
its ^pp$+it+++=its
efficacy ^nn++++=efficacy
for ^in++++=for
conscious ^jj+atrb+++=conscious
sedation ^nn+++??+=sedation
( ^zz++++=(Pinheiro
pinheiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
farah ^np++++=Farah
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
