Significant ^jj+atrb+++=Significant
organizational ^jj+atrb+++=organizational
restructuring ^nn+++??+=restructuring
has ^vbz+hvz+aux++=has
occurred ^vprf+++xvbnx+=occurred
at ^rb++++=at
the ^ati++++=the
Institute ^nn++++=Institute
for ^in++++=for
K ^zz++++=K
during ^in++++=during
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
process ^nn++++=process
is ^vbz+bez+vrb++=is
ongoing ^nn+++??+=ongoing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
replacement ^nn++++=replacement
of ^in++++=of
superintendents ^nns++++=superintendents
with ^in++++=with
extensive ^jj+atrb+++=extensive
experience ^nn++++=experience
some ^dti++++=some
with ^in++++=with
30 ^cd++++=30
to ^to++++=to
40 ^cd++++=40
years ^nns++++=years
of ^in++++=of
involvement ^nn++++=involvement
in ^in++++=in
policy ^nn++++=policy
K ^zz++++=K
by ^in++++=by
individuals ^nns++++=individuals
without ^in++++=without
comparable ^jj+atrb+++=comparable
qualifications ^nns++++=qualifications,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
filmmakers ^nns+++??+=filmmakers
and ^cc++++=and
associates ^nns++++=associates
of ^in++++=of
members ^nns++++=members
of ^in++++=of
Congress ^nn++++=Congress,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
directors ^nns++++=directors
have ^vb+hv+aux++=have
also ^rb++splt++=also
been ^vprf+ben+aux+xvbnx+=been
dismissed ^vpsv++agls+xvbnx+=dismissed
in ^in++++=in
recent ^jj+atrb+++=recent
months ^nns++++=months.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
interviewee ^nn+++??+=interviewee,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
actions ^nns++++=actions
constitute ^vb++++=constitute
a ^at++++=a
systematic ^jj+atrb+++=systematic
and ^cc+phrs+++=and
observable ^jj+atrb+++=observable
dismantling ^nn++++=dismantling
of ^in++++=of
the ^ati++++=the
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
affecting ^vbg+++xvbg+=affecting
personnel ^nns++++=personnel
at ^rb++++=at
all ^abn++++=all
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
interviewee ^nn+++??+=interviewee
emphasizes ^vbz+vpub+++=emphasizes
that ^tht+vcmp+++=that
these ^dt+dem+++=these
changes ^nns++++=changes
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
lack ^vbi++++=lack
a ^at++++=a
coherent ^jj+atrb+++=coherent
or ^cc+phrs+++=or
articulated ^jj+atrb++??+=articulated
policy ^nn++++=policy
project ^nn++++=project,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
primary ^jj+atrb+++=primary
concern ^nn++++=concern.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather
than ^in++++=than
reflecting ^xvbg+++xvbg+=reflecting
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
a ^at++++=a
new ^jj++++=new,
, ^zz++++=EXTRAWORD
democratically ^rb++++=democratically
mandated ^jj+atrb++??+=mandated
agenda ^nn++++=agenda,
, ^zz++++=EXTRAWORD
the ^ati++++=the
changes ^nns++++=changes
are ^vb+ber+aux++=are
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
an ^at++++=an
effort ^nn++++=effort
to ^to+ncmp+++=to
dismantle ^vb+++??+=dismantle
existing ^vwbg+++xvbg+=existing
structures ^nns++++=structures
without ^in++++=without
a ^at++++=a
clear ^jj++++=clear
alternative ^jj++++=alternative,
, ^zz++++=EXTRAWORD
as ^ql++++=as
evidenced ^vb+++??+=evidenced
by ^in++++=by
recent ^jj+atrb+++=recent
developments ^nns++++=developments
at ^in++++=at
the ^ati++++=the
institute ^nn++++=Institute
for ^in++++=for
k ^zz++++=K
( ^zz++++=(interviewee
interviewee ^nn++++=EXTRAWORD
35 ^cd++++=35).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
