Anxiety ^nn++++=Anxiety
is ^vbz+bez+vrb++=is
a ^at++++=a
significant ^jj+atrb+++=significant
factor ^nn++++=factor
contributing ^vwbg+++xvbg+=contributing
to ^in++++=to
patient ^nn++++=patient
stress ^vb+vpub+++=stress
in ^in++++=in
dental ^jj+atrb+++=dental
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
with ^in++++=with
prevalence ^nn+++??+=prevalence
rates ^nns++++=rates
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
to ^to++++=to
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
( ^zz++++=(Deogade
deogade ^nn+++??+=EXTRAWORD
& ^zz++++=&
Suresan ^np+++??+=Suresan,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
advancements ^nns+++??+=advancements
in ^in++++=in
technology ^nn++++=technology,
, ^zz++++=EXTRAWORD
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pain ^nn++++=pain
control ^nn++++=control
techniques ^nns++++=techniques,
, ^zz++++=EXTRAWORD
dental ^jj+atrb+++=dental
treatment ^nn++++=treatment
continues ^vbz++++=continues
to ^to++++=to
elicit ^vbi++++=elicit
fear ^vb++++=fear,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
intensity ^nn++++=intensity
varying ^vwbg+++xvbg+=varying
among ^in++++=among
individuals ^nns++++=individuals
( ^zz++++=(Dantas
dantas ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Facco ^np+++??+=Facco
& ^zz++++=&
Zanette ^np+++??+=Zanette,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
da ^np++++=da
Cunha ^np+++??+=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Invasive ^np+++??+=Invasive
procedures ^nns++++=procedures,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
administration ^nn++++=administration
of ^in++++=of
anesthesia ^nn+++??+=anesthesia,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
particularly ^rb++splt++=particularly
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
increased ^jj+atrb++xvbn+=increased
levels ^nns++++=levels
of ^in++++=of
fear ^nn++++=fear
and ^cc++++=and
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
emotional ^jj+atrb+++=emotional
responses ^nns++++=responses
may ^md+pos+++=may
be ^vb+be+aux++=be
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
cultural ^jj+atrb+++=cultural
background ^nn++++=background,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
experiences ^nns++++=experiences,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gender ^nn++++=gender
( ^zz++++=(Vanhee
vanhee ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
even ^rb++++=even
patients ^nns++++=patients
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
calm ^nn++++=calm
may ^md+pos+++=may
experience ^vb++++=experience
heightened ^vwbn+++xvbn+=heightened
anxiety ^nn++++=anxiety
prior ^rb++++=prior
to ^in++++=to
dental ^jj+atrb+++=dental
treatment ^nn++++=treatment
sessions ^nns++++=sessions
( ^zz++++=(Ara
ara ^nn+++??+=EXTRAWORD
jo ^np++++=jo
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018;
; ^zz++++=EXTRAWORD
Farah ^np+++??+=Farah
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
da ^np++++=da
cunha ^np++++=Cunha
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
