When ^wrb+who+++=When
President ^npt++++=President
Rousseff ^np+++??+=Rousseff
was ^vbd+bedz+vrb++=was
impeached ^nn+++??+=impeached
in ^in++++=in
2016 ^cd++++=2016
and ^cc++++=and
succeeded ^vpsv++by+xvbn+=succeeded
by ^in++++=by
Vice ^nn++++=Vice-President
- ^zz++++=EXTRAWORD
president ^npt++++=EXTRAWORD
Michel ^np++++=Michel
Temer ^np+++??+=Temer,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
widespread ^jj+atrb+++=widespread
reports ^nns++++=reports
within ^in++++=within
the ^ati++++=the
federal ^jj+atrb+++=federal
bureaucracy ^nn++++=bureaucracy
of ^in++++=of
intentions ^nns++++=intentions
to ^to++++=to
resist ^vbi++++=resist
policy ^nn++++=policy
dismantling ^nn++++=dismantling.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
bureaucrats ^nns++++=bureaucrats
did ^vbd+dod+aux++=did
engage ^vb++++=engage
in ^in++++=in
such ^abl++++=such
resistance ^nn++++=resistance,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
facilitated ^vpsv++by+xvbn+=facilitated
by ^in++++=by
a ^at++++=a
broader ^jjr+atrb+++=broader
political ^jj+atrb+++=political
context ^nn++++=context
that ^tht+rel+subj++=that
constrained ^xvbn+++xvbn+=constrained
Temer ^np++++=Temer's
's ^$++++=EXTRAWORD
ability ^nn++++=ability
to ^to+ncmp+++=to
implement ^vbi++++=implement
significant ^jj+atrb+++=significant
changes ^nns++++=changes.
. ^zz++++=EXTRAWORD
Assuming ^vbg+vprv++xvbg+=Assuming
the ^ati++++=the
presidency ^nn++++=presidency
under ^in++++=under
contested ^vbd+++xvbn+=contested
circumstances ^nns++++=circumstances,
, ^zz++++=EXTRAWORD
Temer ^np+++??+=Temer
concentrated ^vbd+++xvbn+=concentrated
his ^pp$+pp3+++=his
2.5 ^cd++++=2.5-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
tenure ^nn++++=tenure
on ^in++++=on
two ^cd++++=two
primary ^jj+atrb+++=primary
objectives ^nns++++=objectives:
: ^zz++++=EXTRAWORD
labor ^nn+++??+=labor
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
achieved ^vbd+++xvbnx+=achieved,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pension ^nn++++=pension
reform ^nn++++=reform,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
policy ^nn++++=policy
areas ^nns++++=areas
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
central ^jj++++=central
to ^in++++=to
Temer ^np++++=Temer's
's ^$++++=EXTRAWORD
agenda ^nn++++=agenda
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
economic ^jj+atrb+++=economic
groups ^nns++++=groups
that ^tht+rel+subj++=that
supported ^vprf+++xvbn+=supported
his ^pp$+pp3+++=his
rise ^nn++++=rise
to ^in++++=to
office ^nn++++=office,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
the ^ati++++=the
bureaucracy ^nn++++=bureaucracy
in ^in++++=in
certain ^jj+atrb+++=certain
sectors ^nns++++=sectors
to ^to++++=to
maintain ^vbi+vpub+++=maintain
continuity ^nn++++=continuity
in ^in++++=in
policy ^nn++++=policy
implementation ^nn++++=implementation.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
human ^jj+atrb+++=human
rights ^nns++++=rights,
, ^zz++++=EXTRAWORD
Temer ^np+++??+=Temer
appointed ^vwbn+++xvbn+=appointed
Flavia ^np+++??+=Flavia
Piovesan ^np+++??+=Piovesan,
, ^zz++++=EXTRAWORD
a ^at++++=a
highly ^rb+amp+++=highly
respected ^jj+atrb++xvbn+=respected
scholar ^nn++++=scholar,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
elevate ^vb++++=elevate
the ^ati++++=the
institutional ^jj+atrb+++=institutional
status ^nn++++=status
of ^in++++=of
the ^ati++++=the
department ^nn++++=department
of ^in++++=of
Lgbtq ^np+++??+=LGBTQ
rights ^nns++++=rights
within ^in++++=within
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Human ^jj+atrb+++=Human
Rights ^nns++++=Rights.
. ^zz++++=EXTRAWORD
In ^in++++=In
foreign ^jj+atrb+++=foreign
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
Temer ^np+++??+=Temer
maintained ^vbd+vpub++xvbn+=maintained
the ^ati++++=the
positions ^nns++++=positions
of ^in++++=of
his ^pp$+pp3+++=his
predecessor ^nn++++=predecessor,
, ^zz++++=EXTRAWORD
