Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
clause ^nn++++=clause
order ^to++++=order
and ^cc++++=and
anaphor ^jj+atrb++??+=anaphor
salience ^nn++++=salience
on ^in++++=on
ambiguity ^nn++++=ambiguity
resolution ^nn++++=resolution,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
influence ^nn++++=influence
of ^in++++=of
first ^od++++=first
language ^nn++++=language
( ^zz++++=(L1)
l1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
on ^in++++=on
anaphora ^nn+++??+=anaphora
resolution ^nn++++=resolution
in ^in++++=in
a ^at++++=a
second ^od++++=second
language ^nn++++=language
( ^zz++++=(L2).
l2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Sorace ^np+++??+=Sorace
and ^cc++++=and
Filiaci ^np+++??+=Filiaci
( ^zz++++=(2006)
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
ambiguous ^jj+atrb+++=ambiguous
anaphora ^nn+++??+=anaphora
resolution ^nn++++=resolution
in ^in++++=in
Italian ^jj++++=Italian;
; ^zz++++=EXTRAWORD
Alonso ^np+++??+=Alonso-Ovalle
- ^zz++++=EXTRAWORD
ovalle ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Keating ^np+++??+=Keating
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Spanish ^jj++++=Spanish;
; ^zz++++=EXTRAWORD
Valenzuela ^np+++??+=Valenzuela
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
Spanish ^jj++++=Spanish
and ^cc++++=and
English ^nn++++=English;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lobo ^np+++??+=Lobo
and ^cc++++=and
Silva ^np+++??+=Silva
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
Portuguese ^nn++++=Portuguese.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
few ^ap++++=few
studies ^nns++++=studies
have ^vb+hv+aux++=have
compared ^vprf+++xvbnx+=compared
anaphora ^nn+++??+=anaphora
resolution ^nn++++=resolution
across ^in+pl+++=across
multiple ^jj+atrb+++=multiple
languages ^nns++++=languages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Portuguese ^nn++++=Portuguese
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
underrepresented ^nn+++??+=underrepresented
in ^in++++=in
such ^abl++++=such
research ^nn++++=research.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
previous ^jj+atrb+++=previous
studies ^nns++++=studies
often ^rb++++=often
do ^vb+do+aux++=do
not ^xnot++not++=not
specify ^vb+vsua+++=specify
semantic ^jj+atrb+++=semantic
criteria ^nns++++=criteria
for ^in++++=for
verb ^nn++++=verb
selection ^nn++++=selection
in ^in++++=in
their ^pp$+pp3+++=their
experimental ^jj+atrb+++=experimental
tasks ^nns++++=tasks.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
explicitly ^rb++++=explicitly
defines ^vbz++++=defines
these ^dt+dem+++=these
criteria ^nns++++=criteria
and ^cc++++=and
examines ^vbz++++=examines
how ^wrb+who+++=how
different ^jj+atrb+++=different
combinations ^nns++++=combinations
of ^in++++=of
verbs ^nns++++=verbs
influence ^nn++++=influence
anaphora ^nn++++=anaphora
resolution ^nn++++=resolution.
. ^zz++++=EXTRAWORD
