Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
all ^abn++++=all
the ^ati++++=the
indicators ^nns++++=indicators
utilized ^vwbn+++xvbn+=utilized
by ^in++++=by
U ^zz++++=U-Multirank,
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
categorized ^nn+++??+=categorized
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
five ^cd++++=five
dimensions ^nns++++=dimensions.
. ^zz++++=EXTRAWORD
For ^in++++=For
each ^dt++++=each
indicator ^nn++++=indicator,
, ^zz++++=EXTRAWORD
the ^ati++++=the
table ^nn++++=table
provides ^vbz+vsua+++=provides
a ^at++++=a
description ^nn++++=description,
, ^zz++++=EXTRAWORD
the ^ati++++=the
quantity ^nn++++=quantity
of ^in++++=of
available ^jj+atrb+++=available
data ^nns++++=data,
, ^zz++++=EXTRAWORD
unavailable ^jj+atrb+++=unavailable
data ^nns++++=data,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
data ^nns++++=data
classified ^vwbn+++xvbn+=classified
as ^in++++=as
" ^zz++++="not
not ^xnot++not++=EXTRAWORD
applicable ^jj++++=applicable."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
data ^nns++++=data
sources ^nns++++=sources
are ^vb+ber+aux++=are
specified ^vpsv++agls+xvbnx+=specified
and ^cc+phrs+++=and
divided ^vpsv++agls+xvbn+=divided
into ^in++++=into
two ^cd++++=two
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
" ^zz++++="IQ,"
iq ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
referring ^vbg+++xvbg+=referring
to ^in++++=to
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
through ^in++++=through
questionnaires ^nns++++=questionnaires
completed ^vwbn+++xvbn+=completed
by ^in++++=by
the ^ati++++=the
institutions ^nns++++=institutions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="IND,"
ind ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
indicating ^vbg+vprv+tht0+xvbg+=indicating
data ^nns++++=data
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
independent ^jj+atrb+++=independent
sources ^nns++++=sources
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
web ^nn++++=Web
of ^in++++=of
science ^nn++++=Science.
. ^zz++++=EXTRAWORD
