Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
highly ^rb+amp+++=highly
relevant ^jj+pred+++=relevant
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
status ^nn++++=status
of ^in++++=of
viral ^nn+++??+=viral
circulation ^nn++++=circulation
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
smaller ^jjr+atrb+++=smaller
cities ^nns++++=cities
where ^wrb+who+++=where
resources ^nns++++=resources
are ^vb+ber+vrb++=are
more ^rbr++++=more
limited ^jj+pred+++=limited.
. ^zz++++=EXTRAWORD
