Methods ^nns++++=Methods:
: ^zz++++=EXTRAWORD
In ^in++++=In
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
Prisma ^np+++??+=PRISMA
Extension ^nn++++=Extension
for ^in++++=for
Scoping ^np+++??+=Scoping
Reviews ^nns++++=Reviews
( ^zz++++=(PRISMA-ScR)
prisma ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
scr ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
guidelines ^nns+++??+=guidelines,
, ^zz++++=EXTRAWORD
a ^at++++=a
systematic ^jj+atrb+++=systematic
search ^nn++++=search
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
across ^in+pl+++=across
five ^cd++++=five
databases ^nns+++??+=databases:
: ^zz++++=EXTRAWORD
Cochrane ^np+++??+=Cochrane
Library ^nn++++=Library,
, ^zz++++=EXTRAWORD
Pubmed ^np+++??+=PubMed
Central ^jj++++=Central
, ^zz++++=,
Sciencedirect ^np+++??+=ScienceDirect,
, ^zz++++=EXTRAWORD
Scopus ^np+++??+=Scopus
Elsevier ^np+++??+=Elsevier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Web ^nn++++=Web
of ^in++++=of
Science ^nn++++=Science.
. ^zz++++=EXTRAWORD
No ^at++++=No
restrictions ^nns++++=restrictions
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied
regarding ^in++++=regarding
language ^nn++++=language
or ^cc++++=or
year ^nn++++=year
of ^in++++=of
publication ^nn++++=publication.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
researchers ^nns+++??+=researchers
independently ^rb++++=independently
and ^cc+phrs+++=and
blindly ^rb++++=blindly
screened ^vbd+++xvbn+=screened
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
both ^abx++++=both
manually ^rb++++=manually
and ^cc++++=and
using ^jj+++xvbg+=using
Rayyan ^np+++??+=Rayyan
software ^nn+++??+=software.
. ^zz++++=EXTRAWORD
The ^ati++++=The
search ^nn++++=search
strategy ^nn++++=strategy
utilized ^vbd+++xvbn+=utilized
the ^ati++++=the
following ^jj+atrb++xvbg+=following
keywords ^nns+++??+=keywords:
: ^zz++++=EXTRAWORD
breast ^nn++++=breast
cancer ^nn++++=cancer
And ^cc++++=AND
physical ^jj+atrb+++=physical
activity ^nn++++=activity
Or ^cc++++=OR
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
And ^cc++++=AND
protocol ^nn++++=protocol
study ^nn++++=study
Or ^cc++++=OR
study ^nn++++=study
protocol ^nn++++=protocol
. ^zz++++=.
Studies ^nns++++=Studies
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
protocols ^nns++++=protocols
of ^in++++=of
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
involving ^vwbg+++xvbg+=involving
physical ^jj+atrb+++=physical
activity ^nn++++=activity
and ^cc++++=and/or
physical ^jj+atrb+++=physical
exercise ^nn++++=exercise
interventions ^nns++++=interventions
in ^in++++=in
women ^nns++++=women
undergoing ^vwbg+++xvbg+=undergoing
breast ^nn++++=breast
cancer ^nn++++=cancer
treatment ^nn++++=treatment
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-treatment
- ^zz++++=EXTRAWORD
treatment ^nn++++=EXTRAWORD
phase ^nn++++=phase.
. ^zz++++=EXTRAWORD
