Biomonitoring ^np+++??+=Biomonitoring
relies ^vbz++++=relies
on ^in++++=on
data ^nns++++=data
regarding ^in++++=regarding
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
organisms ^nns++++=organisms
within ^in++++=within
each ^dt++++=each
habitat ^nn++++=habitat
to ^to++++=to
assess ^vbi++++=assess
environmental ^jj+atrb+++=environmental
conditions ^nns++++=conditions.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
sampled ^nn+++??+=sampled
organisms ^nns++++=organisms
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
to ^in++++=to
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
possible ^jj+atrb+++=possible
taxonomic ^nn+++??+=taxonomic
level ^nn++++=level
using ^vwbg+++xvbg+=using
identification ^nn++++=identification
keys ^nns++++=keys.
. ^zz++++=EXTRAWORD
The ^ati++++=The
method ^nn++++=method
outlined ^vwbn+++xvbn+=outlined
by ^in++++=by
Cetesb ^np+++??+=CETESB
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
assigns ^vbz++++=assigns
scores ^nns++++=scores
to ^in++++=to
each ^dt++++=each
organism ^nn++++=organism
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
sensitivity ^nn++++=sensitivity
and ^cc++++=and
tolerance ^nn++++=tolerance
to ^in++++=to
pollutants ^nns+++??+=pollutants:
: ^zz++++=EXTRAWORD
sensitive ^jj+atrb+++=sensitive
species ^nn++++=species
receive ^vb++++=receive
a ^at++++=a
score ^nn++++=score
of ^in++++=of
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
indifferent ^jj+atrb+++=indifferent
species ^nn++++=species
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
tolerant ^jj+atrb+++=tolerant
species ^nn++++=species
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
second ^od++++=second-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
opportunists ^nns+++??+=opportunists
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
first ^od++++=first-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
opportunists ^nns+++??+=opportunists
1 ^zz++++=1
( ^zz++++=(Borja
borja ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Borja ^np+++??+=Borja
and ^cc++++=and
Muxika ^np+++??+=Muxika,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
biological ^jj+atrb+++=biological
index ^nn++++=index
is ^vbz+bez+aux++=is
then ^rn+tm+splt++=then
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
summing ^xvbg+++xvbg+=summing
these ^dt+dem+++=these
values ^nns++++=values
to ^to++++=to
indicate ^vbi+vprv+++=indicate
water ^nn++++=water
quality ^nn++++=quality,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
very ^ql+amp+++=very
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
poor ^jj++++=poor,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair,
, ^zz++++=EXTRAWORD
good ^jj++++=good,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
excellent ^jj++++=excellent
( ^zz++++=(Buss,
buss ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
Cetesb ^np+++??+=CETESB,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
calculation ^nn++++=calculation
of ^in++++=of
these ^dt+dem+++=these
indices ^nns++++=indices
enables ^vbz++++=enables
qualitative ^jj+atrb+++=qualitative
comparisons ^nns++++=comparisons
between ^in++++=between
the ^ati++++=the
sampling ^nn++++=sampling
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
