When ^wrb+who+++=When
the ^ati++++=the
concentration ^nn++++=concentration
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
antibodies ^nns++++=antibodies
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample
was ^vbd+bedz+vrb++=was
zero ^cd++++=zero
or ^cc++++=or
below ^in+pl+++=below
the ^ati++++=the
established ^nn++++=established
cut ^vbd+++xvbn+=cut-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
value ^nn++++=value,
, ^zz++++=EXTRAWORD
no ^at++++=no
visible ^jj+atrb+++=visible
colored ^nn+++??+=colored
band ^nn++++=band
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
test ^nn++++=test
region ^nn++++=region
of ^in++++=of
the ^ati++++=the
device ^nn++++=device,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
negative ^jj+atrb+++=negative
result ^nn++++=result.
. ^zz++++=EXTRAWORD
A ^at++++=A
colored ^nn+++??+=colored
line ^nn++++=line
consistently ^rb++++=consistently
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
region ^nn++++=region,
, ^zz++++=EXTRAWORD
serving ^vbg+++xvbg+=serving
as ^ql++++=as
a ^at++++=a
procedural ^nn+++??+=procedural
control ^nn++++=control
to ^to++++=to
confirm ^vbi+vpub+++=confirm
that ^tht+vcmp+++=that
the ^ati++++=the
test ^nn++++=test
was ^vbd+bedz+aux++=was
functioning ^vbg+++xvbgx+=functioning
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
were ^vbd+bed+aux++=were
read ^vpsv++agls+xvbnx+=read
after ^in++++=after
a ^at++++=a
minimum ^nn++++=minimum
waiting ^vwbg+++xvbg+=waiting
period ^nn++++=period
of ^in++++=of
15 ^cd++++=15
minutes ^nns++++=minutes
and ^cc++++=and
within ^in++++=within
a ^at++++=a
maximum ^nn++++=maximum
of ^in++++=of
20 ^cd++++=20
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
