Mental ^jj+atrb+++=Mental
health ^nn++++=health
was ^vbd+bedz+aux++=was
evaluated ^vpsv++by+xvbnx+=evaluated
by ^in++++=by
assessing ^xvbg+++xvbg+=assessing
symptoms ^nns++++=symptoms
of ^in++++=of
anxiety ^nn++++=anxiety
and ^cc++++=and
depression ^nn++++=depression
using ^vwbg+++xvbg+=using
the ^ati++++=the
Generalized ^jj+atrb+++=Generalized
Anxiety ^nn++++=Anxiety
Disorder ^nn++++=Disorder-7
- ^zz++++=EXTRAWORD
7 ^zz++++=EXTRAWORD
( ^zz++++=(GAD-7)
gad ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
scale ^nn++++=scale
[ ^zz++++=[17]
17 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Patient ^nn++++=Patient
Health ^nn++++=Health
Questionnaire ^nn++++=Questionnaire-9
- ^zz++++=EXTRAWORD
9 ^zz++++=EXTRAWORD
( ^zz++++=(PHQ-9)
phq ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
9 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
scale ^nn++++=scale
[ ^zz++++=[18].
18 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
