Lifestyle ^np+++??+=Lifestyle:
: ^zz++++=EXTRAWORD
routine ^jj+atrb+++=routine
activities ^nns++++=activities
and ^cc++++=and
behaviors ^nns+++??+=behaviors,
, ^zz++++=EXTRAWORD
levels ^nns++++=levels
of ^in++++=of
sun ^nn++++=sun
exposure ^nn++++=exposure,
, ^zz++++=EXTRAWORD
general ^jj+atrb+++=general
lifestyle ^nn+++??+=lifestyle
patterns ^nns++++=patterns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
participation ^nn++++=participation
in ^in++++=in
religious ^jj+atrb+++=religious
celebrations ^nns++++=celebrations
prior ^rb++++=prior
to ^to++++=to
and ^cc++++=and
during ^in++++=during
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
