Objective ^jj++++=Objective:
: ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aimed ^vwbn+++xvbn+=aimed
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
prevalence ^nn+++??+=prevalence
and ^cc++++=and
temporal ^jj+atrb+++=temporal
dynamics ^nn++++=dynamics
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
in ^in++++=in
the ^ati++++=the
populations ^nns++++=populations
of ^in++++=of
two ^cd++++=two
Brazilian ^jj+atrb+++=Brazilian
cities ^nns++++=cities
during ^in++++=during
the ^ati++++=the
first ^od++++=first
wave ^nn++++=wave
of ^in++++=of
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^ql++++=as
to ^to++++=to
evaluate ^vbi++++=evaluate
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
socioeconomic ^nn++++=socioeconomic
and ^cc++++=and
health ^nn++++=health
impacts ^nns++++=impacts.
. ^zz++++=EXTRAWORD
