Given ^vbd+++xvbn+=Given
the ^ati++++=the
substantial ^jj+atrb+++=substantial
differences ^nns++++=differences
in ^in++++=in
the ^ati++++=the
age ^nn++++=age
profiles ^nns++++=profiles
of ^in++++=of
the ^ati++++=the
populations ^nns++++=populations
studied ^vbd+++xvbn+=studied,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
that ^tht+vcmp+++=that
both ^abx++++=both
the ^ati++++=the
values ^nns++++=values
of ^in++++=of
age ^nn++++=age-adjusted
- ^zz++++=EXTRAWORD
adjusted ^vbd+++xvbn+=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
and ^cc++++=and
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
country ^nn++++=country
rankings ^nns++++=rankings
differ ^vb++++=differ
considerably ^rb++++=considerably
from ^in++++=from
those ^dt+dem+++=those
based ^jj+++xvbn+=based
on ^in++++=on
crude ^jj+atrb+++=crude
mortality ^nn++++=mortality
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
ranked ^vpsv++by+xvbn+=ranked
by ^in++++=by
age ^nn++++=age-adjusted
- ^zz++++=EXTRAWORD
adjusted ^vbd+++xvbn+=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
seven ^cd++++=seven
countries ^nns++++=countries
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
rates ^nns++++=rates
are ^vb+ber+vrb++=are
all ^abn++++=all
classified ^jj+++xvbn+=classified
as ^ql++++=as
Western ^jj+atrb+++=Western
developing ^jj+atrb++xvbg+=developing
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
six ^cd++++=six
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries
and ^cc++++=and
South ^np+pl+++=South
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
developed ^jj+atrb++xvbn+=developed
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
England ^np++++=England,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
occupy ^vb++++=occupy
the ^ati++++=the
highest ^jjt+atrb+++=highest
positions ^nns++++=positions
in ^in++++=in
the ^ati++++=the
ranking ^nn++++=ranking
based ^vwbn+++xvbn+=based
on ^in++++=on
crude ^jj+atrb+++=crude
mortality ^nn++++=mortality
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
ranked ^vpsv++agls+xvbnx+=ranked
below ^in+pl+++=below
these ^dt+dem+++=these
seven ^cd++++=seven
countries ^nns++++=countries
when ^wrb+who+++=when
age ^nn++++=age
adjustment ^nn++++=adjustment
is ^vbz+bez+aux++=is
applied ^vpsv++agls+xvbnx+=applied.
. ^zz++++=EXTRAWORD
The ^ati++++=The
relative ^jj+atrb+++=relative
positions ^nns++++=positions
within ^in++++=within
the ^ati++++=the
group ^nn++++=group
of ^in++++=of
countries ^nns++++=countries
at ^in++++=at
similar ^jj+atrb+++=similar
stages ^nns++++=stages
of ^in++++=of
development ^nn++++=development
remain ^vb++++=remain
largely ^rb++++=largely
unchanged ^jj++++=unchanged,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
comparable ^jj+atrb+++=comparable
age ^nn++++=age
structures ^nns++++=structures
of ^in++++=of
their ^pp$+pp3+++=their
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
positions ^nns++++=positions
in ^in++++=in
both ^abx++++=both
rankings ^nns++++=rankings
are ^vb+ber+aux++=are
consistently ^rb++splt++=consistently
held ^vpsv++by+xvbnx+=held
by ^in++++=by
the ^ati++++=the
poorer ^jjr+atrb+++=poorer
Asian ^jj+atrb+++=Asian
countries ^nns++++=countries
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
previously ^rb+tm+++=previously
indicated ^vbd+vprv++xvbn+=indicated,
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
substantially ^rb++++=substantially
lower ^jjr++++=lower
Covid ^np+++??+=Covid-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
mortality ^nn++++=mortality
rates ^nns++++=rates
compared ^vpsv++agls+xvbn+=compared
to ^to++++=to
the ^ati++++=the
western ^jj+atrb+++=Western
countries ^nns++++=countries
analyzed ^nn++++=analyzed.
. ^zz++++=EXTRAWORD
