Human ^jj+atrb+++=Human
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
as ^ql++++=as
active ^jj+atrb+++=active
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
must ^md+nec+++=must
be ^vb+be+aux++=be
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
adapt ^vbi++++=adapt
to ^in++++=to
the ^ati++++=the
frequent ^jj+atrb+++=frequent
changes ^nns++++=changes
occurring ^vwbg+++xvbg+=occurring
within ^in++++=within
society ^nn++++=society.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
need ^nn++++=need
is ^vbz+bez+aux++=is
heightened ^vpsv++by+xvbnx+=heightened
by ^in++++=by
the ^ati++++=the
exponential ^jj+atrb+++=exponential
growth ^nn++++=growth
of ^in++++=of
information ^nn++++=information
across ^in+pl+++=across
various ^jj+atrb+++=various
formats ^nns++++=formats,
, ^zz++++=EXTRAWORD
including ^in++++=including
oral ^jj++++=oral,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written,
, ^zz++++=EXTRAWORD
multimedia ^nn+++??+=multimedia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
audiovisual ^nn+++??+=audiovisual
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
developments ^nns++++=developments
necessitate ^vb++++=necessitate
information ^nn++++=information
literacy ^nn++++=literacy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
the ^ati++++=the
abilities ^nns++++=abilities
to ^to++++=to
search ^vbi++++=search
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
select ^jj++++=select,
, ^zz++++=EXTRAWORD
analyze ^nn+++??+=analyze,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
transform ^vb++++=transform
information ^nn++++=information
into ^in++++=into
knowledge ^nn++++=knowledge
( ^zz++++=(Area
area ^nn++++=EXTRAWORD
& ^zz++++=&
Guarro ^np+++??+=Guarro,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+pdem+++=These
are ^vb+ber+vrb++=are
fundamental ^jj+atrb+++=fundamental
competencies ^nns+++??+=competencies
that ^tht+rel+obj++=that
form ^nn++++=form
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
broader ^nn++++=broader
set ^vbd+++xvbn+=set
of ^in++++=of
skills ^nns++++=skills
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
multiliteracy ^nn+++??+=multiliteracy
among ^in++++=among
citizens ^nns++++=citizens
in ^in++++=in
the ^ati++++=the
information ^nn++++=information
society ^nn++++=society
( ^zz++++=(Mart
mart ^np++++=EXTRAWORD
nez ^nn+++??+=nez-Abad,
- ^zz++++=EXTRAWORD
abad ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
38 ^cd++++=38).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
