Serological ^np+++??+=Serological
screening ^vwbg+++xvbg+=screening
for ^in++++=for
anti ^nn+++??+=anti-SARS-CoV-2
- ^zz++++=EXTRAWORD
sars ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
antibodies ^nns++++=antibodies
was ^vbd+bedz+aux++=was
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
trained ^xvbn+++xvbn+=trained
personnel ^nns++++=personnel
utilizing ^nn+++??+=utilizing
immunochromatographic ^nn+++??+=immunochromatographic
assay ^nn++++=assay-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
tests ^nns++++=tests.
. ^zz++++=EXTRAWORD
The ^ati++++=The
One ^cd1++++=One
Step ^nn++++=Step
Covid ^np+++??+=COVID-2019
- ^zz++++=EXTRAWORD
2019 ^cd++++=EXTRAWORD
Test ^nn++++=Test
( ^zz++++=(Guangzhou
guangzhou ^nn+++??+=EXTRAWORD
Wondfo ^np+++??+=Wondfo
Biotech ^np+++??+=Biotech
, ^zz++++=,
China ^np++++=China)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
qualitatively ^rb++splt++=qualitatively
detect ^vbi++++=detect
the ^ati++++=the
presence ^nn++++=presence
of ^in++++=of
Igm ^np+++??+=IgM
and ^cc++++=and
Igg ^np+++??+=IgG
antibodies ^nns++++=antibodies
in ^in++++=in
whole ^jj+atrb+++=whole
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
serum ^nn++++=serum,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
plasma ^nn++++=plasma
samples ^nns++++=samples,
, ^zz++++=EXTRAWORD
without ^in++++=without
differentiation ^nn++++=differentiation
between ^in++++=between
immunoglobulin ^nn++++=immunoglobulin
classes ^nns++++=classes
[ ^zz++++=[21].
21 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
