Among ^in++++=Among
the ^ati++++=the
proponents ^nns++++=proponents
of ^in++++=of
the ^ati++++=the
neutralist ^jj++++=neutralist-liberal
- ^zz++++=EXTRAWORD
liberal ^jj+atrb+++=EXTRAWORD
conception ^nn++++=conception
in ^in++++=in
Ireland ^np++++=Ireland
are ^vb+ber+vrb++=are
organizations ^nns++++=organizations
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Humanist ^nn++++=Humanist
Association ^nn++++=Association
of ^in++++=of
Ireland ^np++++=Ireland
( ^zz++++=(HAI),
hai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Education ^nn++++=Education
Equality ^nn++++=Equality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Atheist ^np+++??+=Atheist
Ireland ^np++++=Ireland.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
these ^dt+dem+++=these
groups ^nns++++=groups
share ^vb++++=share
the ^ati++++=the
position ^nn++++=position
that ^tht+rel+obj++=that
the ^ati++++=the
Irish ^jj+atrb+++=Irish
educational ^jj+atrb+++=educational
system ^nn++++=system
requires ^vbz++++=requires
reform ^nn++++=reform
to ^to++++=to
prevent ^vbi++++=prevent
discrimination ^nn++++=discrimination
in ^in++++=in
admissions ^nns++++=admissions
and ^cc++++=and
to ^to++++=to
uphold ^vbi++++=uphold
the ^ati++++=the
rights ^nns++++=rights
of ^in++++=of
conscience ^nn++++=conscience
for ^in++++=for
both ^abx++++=both
children ^nns++++=children
and ^cc++++=and
parents ^nns++++=parents,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
specific ^jj+atrb+++=specific
proposals ^nns++++=proposals
concerning ^in++++=concerning
the ^ati++++=the
current ^jj+atrb+++=current
study ^nn++++=study
of ^in++++=of
religion ^nn++++=religion
in ^in++++=in
schools ^nns++++=schools
differ ^vb++++=differ
in ^in++++=in
certain ^jj+atrb+++=certain
respects ^nns++++=respects.
. ^zz++++=EXTRAWORD
